sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,"[100, 62]",127,0,"[64, 28]"
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
0.3,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[76],[53],p,0,1,0,0,0,0
0.6,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
0.7,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
0.8,['note_on'],[0],[76],[53],p,0,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
1.3,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[76],[53],p,0,1,0,0,0,0
1.6,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
1.7,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
1.8,['note_on'],[0],[76],[53],p,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,127,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[69],[53],p,0,1,0,0,0,0
2.3,['note_on'],[0],[74],[53],p,0,1,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[77],[53],p,0,1,0,0,0,0
2.6,['note_on'],[0],[69],[53],p,0,1,0,0,0,0
2.7,['note_on'],[0],[74],[53],p,0,1,0,0,0,0
2.8,['note_on'],[0],[77],[53],p,0,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,['note_on'],[0],[69],[53],p,0,1,0,0,0,0
3.3,['note_on'],[0],[74],[53],p,0,1,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[77],[53],p,0,1,0,0,0,0
3.6,['note_on'],[0],[69],[53],p,0,1,0,0,0,0
3.7,['note_on'],[0],[74],[53],p,0,1,0,0,0,0
3.8,['note_on'],[0],[77],[53],p,0,1,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,127,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
4.3,['note_on'],[0],[74],[55],p,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[77],[57],p,0,1,0,0,0,0
4.6,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
4.7,['note_on'],[0],[74],[60],p,0,1,0,0,0,0
4.8,['note_on'],[0],[77],[61],p,0,1,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
5.3,['note_on'],[0],[74],[66],mp,0,1,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,['note_on'],[0],[77],[68],mp,0,1,0,0,0,0
5.6,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
5.7,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
5.8,['note_on'],[0],[77],[71],mp,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,127,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,['note_on'],[0],[67],[76],mf,1,1,0,0,0,0
6.3,['note_on'],[0],[72],[76],mf,0,1,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,['note_on'],[0],[76],[77],mf,1,1,0,0,0,0
6.6,['note_on'],[0],[67],[79],mf,0,1,0,0,0,0
6.7,['note_on'],[0],[72],[80],mf,0,1,0,0,0,0
6.8,['note_on'],[0],[76],[82],mf,0,1,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
