sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[59],p,0,1,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[64],[63],mp,0,1,0,0,0,0
0.3,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[60],p,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[62],mp,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[66],mp,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[63],mp,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
1.4,['note_on'],[0],[60],[66],mp,0,1,0,0,"[46, 0]",0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,['note_on'],[0],[64],[60],p,0,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,"[22, 46, 70, 92, 108, 126, 127]",0
1.8,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[66],mp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[67],mp,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[64],mp,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[66],mp,0,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[60],[81],mf,1,1,0,0,0,0
3.1,['note_on'],[0],[62],[71],mp,0,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,62,0
3.3,['note_on'],[0],[69],[69],mp,0,1,0,0,"[90, 118, 127]",0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[74],[76],mf,1,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[77],[73],mp,0,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[63],mp,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[67],mp,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[64],mp,0,1,0,0,0,0
4.4,['note_on'],[0],[60],[71],mp,0,1,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,"[34, 0]",0
4.6,['note_on'],[0],[62],[67],mp,0,1,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,"[2, 34, 65]",0
4.8,['note_on'],[0],[69],[64],mp,0,1,0,0,"[94, 120, 127]",0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,['note_on'],[0],[74],[67],mp,0,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[74],[71],mp,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[77],[60],p,0,1,0,0,0,0
5.9,['note_on'],[0],[59],[69],mp,0,1,0,0,"[78, 44]",0
6.0,[],[],[],[],,0,0,0,0,"[6, 0]",0
6.1,['note_on'],[0],[62],[71],mp,0,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,4,0
6.3,['note_on'],[0],[67],[67],mp,0,1,0,0,"[70, 102, 127]",0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,['note_on'],[0],[74],[74],mp,0,1,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,['note_on'],[0],[67],[71],mp,0,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[74],[67],mp,0,1,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,"[90, 58]",0
7.5,['note_on'],[0],[59],[81],mf,1,1,0,0,"[24, 0]",0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,['note_on'],[0],[62],[74],mp,0,1,0,0,"[22, 82, 108, 127]",0
7.8,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,['note_on'],[0],[74],[71],mp,0,1,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,['note_on'],[0],[67],[63],mp,0,1,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,['note_on'],[0],[74],[76],mf,1,1,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[77],[64],mp,0,1,0,0,0,0
8.9,['note_on'],[0],[60],[76],mf,1,1,0,0,"[94, 58]",0
9.0,[],[],[],[],,0,0,0,0,"[24, 0]",0
9.1,['note_on'],[0],[64],[71],mp,0,1,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,"[24, 102, 127]",0
9.3,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,['note_on'],[0],[72],[69],mp,0,1,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[76],[71],mp,0,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,['note_on'],[0],[67],[73],mp,0,1,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,['note_on'],[0],[72],[69],mp,0,1,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,['note_on'],[0],[76],[69],mp,0,1,0,0,0,0
10.4,['note_on'],[0],[60],[74],mp,0,1,0,0,"[98, 24]",0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,['note_on'],[0],[64],[63],mp,0,1,0,0,"[20, 44, 94, 118]",0
10.7,[],[],[],[],,0,0,0,0,127,0
10.8,['note_on'],[0],[67],[63],mp,0,1,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,['note_on'],[0],[72],[66],mp,0,1,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,['note_on'],[0],[76],[69],mp,0,1,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[67],[73],mp,0,1,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,['note_on'],[0],[72],[76],mf,1,1,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,['note_on'],[0],[76],[76],mf,1,1,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,122,0
12.0,['note_on'],[0],[60],[92],f,1,1,0,0,"[48, 10, 0]",0
12.1,['note_on'],[0],[64],[96],f,1,1,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,"[36, 104, 127]",0
12.3,['note_on'],[0],[69],[86],mf,1,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,['note_on'],[0],[76],[94],f,1,1,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,['note_on'],[0],[81],[94],f,1,1,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,['note_on'],[0],[69],[86],mf,1,1,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,['note_on'],[0],[76],[96],f,1,1,0,0,0,0
13.2,['note_on'],[0],[81],[92],f,1,1,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,['note_on'],[0],[60],[96],f,1,1,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,['note_on'],[0],[64],[92],f,1,1,0,0,"[2, 34, 64, 94, 122, 127]",0
13.7,[],[],[],[],,0,0,0,0,0,0
13.8,['note_on'],[0],[69],[96],f,1,1,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,['note_on'],[0],[76],[100],f,1,1,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,['note_on'],[0],[81],[97],f,1,1,0,0,0,0
14.3,[],[],[],[],,0,0,0,0,0,0
14.4,['note_on'],[0],[69],[88],f,1,1,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
