sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,27,0,0,0
0.05,[],[],[],[],,0,0,0,0,0,0
0.1,[],[],[],[],,0,0,0,0,0,0
0.126,['note_on'],[0],[64],[57],p,0,1,0,0,0,0
0.176,[],[],[],[],,0,0,0,0,0,0
0.2259999999999999,[],[],[],[],,0,0,0,0,0,0
0.2759999999999999,[],[],[],[],,0,0,0,0,0,0
0.3259999999999999,[],[],[],[],,0,0,0,0,0,0
0.3759999999999999,[],[],[],[],,0,0,0,0,0,0
0.4259999999999999,[],[],[],[],,0,0,0,0,0,0
0.4759999999999999,[],[],[],[],,0,0,0,0,0,0
0.5259999999999999,[],[],[],[],,0,0,0,0,0,0
0.576,[],[],[],[],,0,0,0,0,0,0
0.626,[],[],[],[],,0,0,0,0,0,0
0.676,[],[],[],[],,0,0,0,0,0,0
0.7260000000000001,[],[],[],[],,0,0,0,0,0,0
0.7760000000000001,[],[],[],[],,0,0,0,0,0,0
0.8260000000000002,[],[],[],[],,0,0,0,0,0,0
0.8760000000000002,[],[],[],[],,0,0,0,0,0,0
0.885,[],[],[],[],,0,0,0,0,127,0
0.9,[],[],[],[],,0,0,0,0,0,0
0.95,[],[],[],[],,0,0,0,0,0,0
0.957,[],[],[],[],,0,0,0,0,123,0
0.962,[],[],[],[],,0,0,0,0,123,0
0.968,[],[],[],[],,0,0,0,0,123,0
0.973,[],[],[],[],,0,0,0,0,123,0
0.978,[],[],[],[],,0,0,0,0,125,0
0.982,[],[],[],[],,0,0,0,0,125,0
0.993,[],[],[],[],,0,0,0,0,125,0
1.001,['note_on'],[0],[60],[62],mp,0,1,0,0,0,0
1.029,[],[],[],[],,0,0,0,0,125,0
1.034,[],[],[],[],,0,0,0,0,125,0
1.075,[],[],[],[],,0,0,0,0,125,0
1.101,[],[],[],[],,0,0,0,0,125,0
1.126,['note_on'],[0],[64],[57],p,0,1,0,0,0,0
1.127,[],[],[],[],,0,0,0,0,125,0
1.132,[],[],[],[],,0,0,0,0,127,0
1.178,[],[],[],[],,0,0,0,0,127,0
1.199,[],[],[],[],,0,0,0,0,127,0
1.249,[],[],[],[],,0,0,0,0,0,0
1.25,[],[],[],[],,0,0,0,0,127,0
1.266,[],[],[],[],,0,0,0,0,127,0
1.276,[],[],[],[],,0,0,0,0,127,0
1.307,[],[],[],[],,0,0,0,0,127,0
1.323,[],[],[],[],,0,0,0,0,127,0
1.348,[],[],[],[],,0,0,0,0,127,0
1.358,[],[],[],[],,0,0,0,0,127,0
1.369,[],[],[],[],,0,0,0,0,127,0
1.39,[],[],[],[],,0,0,0,0,127,0
1.395,[],[],[],[],,0,0,0,0,127,0
1.409,[],[],[],[],,0,0,0,0,127,0
1.415,[],[],[],[],,0,0,0,0,127,0
1.42,[],[],[],[],,0,0,0,0,127,0
1.441,[],[],[],[],,0,0,0,0,127,0
1.446,[],[],[],[],,0,0,0,0,127,0
1.467,[],[],[],[],,0,0,0,0,127,0
1.472,[],[],[],[],,0,0,0,0,127,0
1.477,[],[],[],[],,0,0,0,0,127,0
1.493,[],[],[],[],,0,0,0,0,127,0
1.497,[],[],[],[],,0,0,0,0,127,0
1.502,[],[],[],[],,0,0,0,0,127,0
1.512,[],[],[],[],,0,0,0,0,127,0
1.518,[],[],[],[],,0,0,0,0,127,0
1.523,[],[],[],[],,0,0,0,0,127,0
1.533,[],[],[],[],,0,0,0,0,127,0
1.583,[],[],[],[],,0,0,0,0,0,0
1.633,[],[],[],[],,0,0,0,0,0,0
1.683,[],[],[],[],,0,0,0,0,0,0
1.733,[],[],[],[],,0,0,0,0,0,0
1.783,[],[],[],[],,0,0,0,0,0,0
1.833,[],[],[],[],,0,0,0,0,0,0
1.883,[],[],[],[],,0,0,0,0,0,0
1.9330000000000005,[],[],[],[],,0,0,0,0,0,0
1.9830000000000003,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,127,0,0
2.001,['note_on'],[0],[60],[65],mp,0,1,0,0,0,0
2.01,[],[],[],[],,0,0,0,0,0,0
2.06,[],[],[],[],,0,0,0,0,0,0
2.1099999999999994,[],[],[],[],,0,0,0,0,0,0
2.11,[],[],[],[],,0,0,0,0,127,0
2.126,['note_on'],[0],[62],[60],p,0,1,0,0,0,0
2.176,[],[],[],[],,0,0,0,0,0,0
2.2259999999999995,[],[],[],[],,0,0,0,0,0,0
2.276,[],[],[],[],,0,0,0,0,0,0
2.325999999999999,[],[],[],[],,0,0,0,0,0,0
2.375999999999999,[],[],[],[],,0,0,0,0,0,0
2.425999999999999,[],[],[],[],,0,0,0,0,0,0
2.475999999999998,[],[],[],[],,0,0,0,0,0,0
