sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,62
0.1,['note_on'],[0],[64],[81],mf,1,1,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[89],f,1,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[85],mf,1,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[76],[95],f,1,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,['note_on'],[0],[67],[92],f,1,1,0,0,0,0
1.1,['note_on'],[0],[72],[89],f,1,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[85],mf,1,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[87],mf,1,1,0,0,"[120, 100, 78]",0
1.6,[],[],[],[],,0,0,0,0,"[20, 0]",0
1.7,['note_on'],[0],[64],[76],mf,1,1,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[67],[89],f,1,1,0,0,"[14, 30, 48, 62, 74, 86, 96]",0
2.0,[],[],[],[],,0,0,0,0,"[104, 112, 120, 126, 127]",0
2.1,['note_on'],[0],[72],[83],mf,1,1,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,['note_on'],[0],[76],[87],mf,1,1,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[67],[73],mp,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,['note_on'],[0],[72],[81],mf,1,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[76],[80],mf,1,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[60],[87],mf,1,1,0,0,"[120, 100, 78]",0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,['note_on'],[0],[62],[78],mf,1,1,0,0,"[4, 22, 38, 50, 62]",0
3.2,[],[],[],[],,0,0,0,0,"[66, 72, 74, 76, 78, 80]",0
3.3,['note_on'],[0],[69],[76],mf,1,1,0,0,"[82, 84, 88, 92, 96, 100, 106, 112, 120, 126]",0
3.4,[],[],[],[],,0,0,0,0,127,0
3.7,['note_on'],[0],[74],[83],mf,1,1,0,0,0,0
3.8,['note_on'],[0],[77],[92],f,1,1,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[69],[68],mp,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[74],[84],mf,1,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[77],[88],f,1,1,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[60],[88],f,1,1,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,['note_on'],[0],[62],[73],mp,0,1,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,['note_on'],[0],[69],[75],mf,0,1,0,0,0,0
5.2,['note_on'],[0],[74],[78],mf,1,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[77],[84],mf,1,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[69],[69],mp,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[74],[75],mf,0,1,0,0,0,0
5.9,['note_on'],[0],[77],[77],mf,1,1,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[59],[77],mf,1,1,0,0,"[120, 96]",0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,['note_on'],[0],[62],[72],mp,0,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,"[14, 28, 40, 46, 50, 56, 60, 64, 65]",0
6.3,['note_on'],[0],[67],[64],mp,0,1,0,0,"[68, 70, 72, 74, 78, 82, 86, 92, 98]",0
6.4,[],[],[],[],,0,0,0,0,"[104, 110, 118, 124, 127]",0
6.8,['note_on'],[0],[74],[72],mp,0,1,0,0,0,0
6.7,['note_on'],[0],[77],[70],mp,0,1,0,0,0,0
6.9,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[74],[60],p,0,1,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,['note_on'],[0],[77],[59],p,0,1,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,['note_on'],[0],[59],[55],p,0,1,0,0,0,0
