sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[64],[58],p,0,1,127,0,"[92, 104, 112, 120, 126, 127]",62
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[70],mp,0,1,0,0,0,0
0.4,['note_on'],[0],[72],[64],mp,0,1,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[67],mp,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[68],mp,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[56],p,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[61],p,0,1,0,0,"[114, 96, 76, 22]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,['note_on'],[0],[64],[64],mp,0,1,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[67],[63],mp,0,1,0,0,"[1, 8, 18, 26, 30, 42]",0
2.0,[],[],[],[],,0,0,0,0,"[48, 56, 64, 68, 74, 82, 88, 92, 96, 100]",0
2.1,['note_on'],[0],[72],[65],mp,0,1,0,0,"[104, 110, 116, 120, 126, 127]",0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,['note_on'],[0],[76],[65],mp,0,1,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,['note_on'],[0],[72],[63],mp,0,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[76],[68],mp,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[60],[58],p,0,1,0,0,"[116, 96, 18]",0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,['note_on'],[0],[62],[63],mp,0,1,0,0,0,0
3.3,['note_on'],[0],[69],[65],mp,0,1,0,0,"[1, 6, 14, 20, 28, 32, 42]",0
3.4,[],[],[],[],,0,0,0,0,"[46, 52, 58, 64, 66, 72, 78, 82, 88, 92]",0
3.5,[],[],[],[],,0,0,0,0,"[96, 98]",0
3.7,['note_on'],[0],[74],[63],mp,0,1,0,0,"[102, 104, 108, 110, 112, 118, 120, 122, 124, 127]",0
3.8,['note_on'],[0],[77],[70],mp,0,1,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[69],[68],mp,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[74],[64],mp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[77],[58],p,0,1,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,"[118, 104]",0
4.7,['note_on'],[0],[60],[67],mp,0,1,0,0,"[84, 60, 30, 0]",0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,['note_on'],[0],[62],[68],mp,0,1,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,"[1, 6]",0
5.1,['note_on'],[0],[69],[70],mp,0,1,0,0,"[16, 26, 32, 44, 52, 60, 65, 72, 80, 86]",0
5.2,[],[],[],[],,0,0,0,0,"[90, 98, 102, 108, 112, 118, 122, 126, 127]",0
5.2,"['note_on', 'note_on']","[0, 0]","[74, 77]","[67, 73]",mp,0,2,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[69],[73],mp,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on']","[0, 0]","[77, 59]","[64, 62]",mp,0,2,0,0,116,0
6.0,[],[],[],[],,0,0,0,0,"[98, 76, 52, 22, 0]",0
6.1,['note_on'],[0],[62],[64],mp,0,1,0,0,0,0
6.3,['note_on'],[0],[67],[47],pp,0,1,0,0,"[8, 22, 32]",0
6.4,[],[],[],[],,0,0,0,0,"[44, 50, 58, 64, 68, 74, 80, 86, 90, 96]",0
6.5,[],[],[],[],,0,0,0,0,"[98, 102]",0
6.7,[],[],[],[],,0,0,0,0,"[108, 112, 120]",0
6.7,"['note_on', 'note_on']","[0, 0]","[74, 77]","[67, 75]",mp,0,2,0,0,"[126, 127]",0
6.9,['note_on'],[0],[67],[72],mp,0,1,0,0,0,0
7.1,['note_on'],[0],[74],[75],mf,0,1,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,['note_on'],[0],[77],[77],mf,1,1,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,['note_on'],[0],[59],[65],mp,0,1,0,0,"[124, 108, 90, 65, 4]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[62],[82],mf,1,1,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,['note_on'],[0],[67],[68],mp,0,1,0,0,"[4, 12, 20, 28, 38]",0
8.4,"['note_on', 'note_on']","[0, 0]","[74, 77]","[77, 81]",mf,1,2,0,0,"[48, 56, 64, 72, 80, 88, 98, 106, 114, 122, 127]",0
8.5,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[67],[70],mp,0,1,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,['note_on'],[0],[74],[79],mf,1,1,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,['note_on'],[0],[77],[81],mf,1,1,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.4,['note_on'],[0],[60],[75],mf,0,1,0,0,"[118, 100, 80, 58, 30, 1, 0]",0
9.6,['note_on'],[0],[64],[77],mf,1,1,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,"[6, 22, 38]",0
9.8,['note_on'],[0],[67],[65],mp,0,1,0,0,"[48, 60, 66, 74, 82, 88, 96, 100, 104, 110]",0
9.9,[],[],[],[],,0,0,0,0,"[116, 120, 124, 127]",0
10.0,['note_on'],[0],[72],[72],mp,0,1,0,0,0,0
9.9,['note_on'],[0],[76],[82],mf,1,1,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.4,['note_on'],[0],[67],[82],mf,1,1,0,0,0,0
10.6,['note_on'],[0],[72],[84],mf,1,1,0,0,0,0
10.7,['note_on'],[0],[76],[84],mf,1,1,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
