sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,0
0.154,"['note_on', 'note_on']","[0, 0]","[64, 62]","[46, 39]",pp,0,2,0,0,"[100, 108, 116, 122, 127]",62
0.277,['note_on'],[0],[67],[61],p,0,1,0,0,0,0
0.39,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
0.518,['note_on'],[0],[76],[89],f,1,1,0,0,0,0
0.632,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
0.746,['note_on'],[0],[72],[65],mp,0,1,0,0,0,0
0.854,['note_on'],[0],[76],[70],mp,0,1,0,0,0,0
1.017,['note_on'],[0],[60],[69],mp,0,1,0,0,0,0
1.15,['note_on'],[0],[62],[58],p,0,1,0,0,0,0
1.359,"['note_on', 'note_on']","[0, 0]","[67, 72]","[67, 57]",mp,0,2,0,0,0,0
1.484,['note_on'],[0],[77],[98],f,1,1,0,0,0,0
1.7,"['note_on', 'note_on']","[0, 0]","[72, 67]","[52, 52]",p,0,2,0,0,0,0
1.826,['note_on'],[0],[72],[58],p,0,1,0,0,0,0
1.931,['note_on'],[0],[77],[55],p,0,1,0,0,0,0
2.07,['note_on'],[0],[60],[94],f,1,1,0,0,"[116, 96, 76, 20, 0]",0
2.174,['note_on'],[0],[62],[59],p,0,1,0,0,"[2, 10, 16, 24, 28, 32, 38, 42, 46, 48, 52, 56, 58]",0
2.324,['note_on'],[0],[67],[58],p,0,1,0,0,"[64, 66, 70, 76, 80, 86, 92, 96, 100, 106, 110, 116, 120, 126, 127]",0
2.438,['note_on'],[0],[71],[61],p,0,1,0,0,0,0
2.582,['note_on'],[0],[77],[83],mf,1,1,0,0,0,0
2.728,['note_on'],[0],[69],[57],p,0,1,0,0,0,0
2.858,['note_on'],[0],[71],[65],mp,0,1,0,0,0,0
2.989,['note_on'],[0],[77],[67],mp,0,1,0,0,0,0
3.133,['note_on'],[0],[60],[59],p,0,1,0,0,"[114, 96, 78, 58, 30, 2, 0]",0
3.241,['note_on'],[0],[62],[57],p,0,1,0,0,"[4, 10, 18]",0
3.341,['note_on'],[0],[69],[54],p,0,1,0,0,"[24, 28, 34, 42, 48, 52, 58, 64, 68, 74, 80, 84, 90, 96, 100, 106]",0
3.499,['note_on'],[0],[74],[58],p,0,1,0,0,"[112, 116, 120, 126, 127]",0
