sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,0
0.125,[],[],[],[],,0,0,0,0,"[120, 122, 126, 127]",62
0.258,['note_on'],[0],[67],[70],mp,0,1,0,0,0,0
0.392,['note_on'],[0],[72],[68],mp,0,1,0,0,0,0
0.547,['note_on'],[0],[76],[88],f,1,1,0,0,0,0
0.66,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
0.773,['note_on'],[0],[72],[59],p,0,1,0,0,0,0
0.874,['note_on'],[0],[76],[64],mp,0,1,0,0,118,0
0.975,['note_on'],[0],[60],[66],mp,0,1,0,0,"[94, 70, 48, 28, 14, 10, 16, 26, 34, 50, 62, 74, 86, 98, 108, 118]",0
1.216,['note_on'],[0],[64],[57],p,0,1,0,0,127,0
1.334,['note_on'],[0],[67],[64],mp,0,1,0,0,0,0
1.466,['note_on'],[0],[72],[63],mp,0,1,0,0,0,0
1.606,['note_on'],[0],[76],[86],mf,1,1,0,0,0,0
1.707,['note_on'],[0],[67],[63],mp,0,1,0,0,0,0
1.823,['note_on'],[0],[72],[68],mp,0,1,0,0,0,0
1.934,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
2.133,['note_on'],[0],[60],[59],p,0,1,0,0,"[114, 100, 84, 65, 46, 20, 0]",0
2.233,['note_on'],[0],[62],[62],mp,0,1,0,0,"[2, 4, 6, 10, 14, 20, 26, 30, 38, 44]",0
2.341,['note_on'],[0],[69],[64],mp,0,1,0,0,"[48, 54, 60, 65, 72, 76, 82, 88, 94, 98, 102, 106, 110, 112, 118, 120]",0
2.496,['note_on'],[0],[74],[68],mp,0,1,0,0,"[122, 124, 126, 127]",0
2.632,['note_on'],[0],[77],[82],mf,1,1,0,0,0,0
2.747,['note_on'],[0],[69],[66],mp,0,1,0,0,0,0
2.853,['note_on'],[0],[74],[63],mp,0,1,0,0,0,0
2.967,['note_on'],[0],[77],[72],mp,0,1,0,0,0,0
3.133,['note_on'],[0],[60],[59],p,0,1,0,0,0,0
3.26,['note_on'],[0],[62],[50],p,0,1,0,0,0,0
3.376,['note_on'],[0],[69],[63],mp,0,1,0,0,0,0
3.496,['note_on'],[0],[74],[59],p,0,1,0,0,0,0
3.617,['note_on'],[0],[77],[74],mp,0,1,0,0,0,0
3.721,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
3.839,['note_on'],[0],[74],[63],mp,0,1,0,0,0,0
3.94,['note_on'],[0],[77],[68],mp,0,1,0,0,"[116, 98]",0
4.122,['note_on'],[0],[59],[59],p,0,1,0,0,"[78, 0]",0
4.225,['note_on'],[0],[62],[52],p,0,1,0,0,"[4, 14, 20, 28, 30, 34, 38, 42, 46, 50, 56, 60]",0
4.368,['note_on'],[0],[67],[52],p,0,1,0,0,"[65, 68, 74, 82, 90, 98, 104, 112, 122, 127]",0
4.479,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
4.618,['note_on'],[0],[77],[72],mp,0,1,0,0,0,0
4.751,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
4.87,['note_on'],[0],[74],[64],mp,0,1,0,0,0,0
4.976,['note_on'],[0],[77],[68],mp,0,1,0,0,"[120, 110, 96, 82]",0
5.135,['note_on'],[0],[59],[57],p,0,1,0,0,"[64, 42, 18, 0]",0
5.236,['note_on'],[0],[62],[55],p,0,1,0,0,"[1, 4, 10, 16, 24, 30, 38, 46, 52]",0
5.378,['note_on'],[0],[67],[57],p,0,1,0,0,"[60, 65, 72, 80, 88, 96, 104, 110, 118, 124, 127]",0
5.498,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
5.61,['note_on'],[0],[77],[72],mp,0,1,0,0,0,0
5.744,['note_on'],[0],[67],[59],p,0,1,0,0,0,0
5.85,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
5.956,['note_on'],[0],[77],[64],mp,0,1,0,0,"[124, 110, 92, 42]",0
6.107,['note_on'],[0],[60],[58],p,0,1,0,0,0,0
6.209,['note_on'],[0],[64],[57],p,0,1,0,0,"[6, 20, 34, 48, 58, 64, 68, 74, 80, 86]",0
6.314,['note_on'],[0],[67],[48],pp,0,1,0,0,"[90, 94, 96, 98, 100, 102, 104, 106, 110, 112, 116, 120, 122, 127]",0
6.432,['note_on'],[0],[72],[49],p,0,1,0,0,0,0
6.534,['note_on'],[0],[76],[70],mp,0,1,0,0,0,0
6.67,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
6.846,['note_on'],[0],[72],[54],p,0,1,0,0,0,0
6.947,['note_on'],[0],[76],[66],mp,0,1,0,0,"[126, 116, 104, 90, 72]",0
7.099,['note_on'],[0],[60],[52],p,0,1,0,0,"[54, 30, 4, 0]",0
7.227,['note_on'],[0],[64],[59],p,0,1,0,0,0,0
7.331,['note_on'],[0],[67],[54],p,0,1,0,0,"[2, 8, 18, 26, 32, 40, 48, 52, 56, 62, 65]",0
7.433,['note_on'],[0],[72],[59],p,0,1,0,0,"[70, 74, 78, 82, 86, 90, 94, 96, 98, 100, 102, 104, 108, 112, 118]",0
7.618,['note_on'],[0],[76],[72],mp,0,1,0,0,"[124, 127]",0
7.724,['note_on'],[0],[67],[63],mp,0,1,0,0,0,0
7.848,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
7.964,['note_on'],[0],[76],[63],mp,0,1,0,0,"[118, 108, 96, 82, 64, 42, 0]",0
8.096,['note_on'],[0],[60],[57],p,0,1,0,0,0,0
8.325,['note_on'],[0],[64],[74],mp,0,1,0,0,"[28, 88, 112, 127]",0
8.446,['note_on'],[0],[76],[55],p,0,1,0,0,0,0
8.574,['note_on'],[0],[81],[86],mf,1,1,0,0,0,0
8.685,['note_on'],[0],[69],[57],p,0,1,0,0,0,0
8.794,['note_on'],[0],[76],[59],p,0,1,0,0,0,0
8.936,['note_on'],[0],[81],[64],mp,0,1,0,0,0,0
9.095,['note_on'],[0],[60],[64],mp,0,1,0,0,"[116, 100, 82, 62, 30, 1, 0]",0
9.2,['note_on'],[0],[64],[58],p,0,1,0,0,"[6, 18, 28, 34, 42, 50, 56, 62, 68, 72]",0
9.332,['note_on'],[0],[69],[62],mp,0,1,0,0,"[76, 82, 88, 94, 98, 102, 108, 112, 118, 120, 124, 126, 127]",0
9.464,['note_on'],[0],[76],[62],mp,0,1,0,0,0,0
9.568,['note_on'],[0],[81],[76],mf,1,1,0,0,0,0
9.681,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
9.831,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
9.965,['note_on'],[0],[81],[64],mp,0,1,0,0,0,0
10.127,['note_on'],[0],[60],[52],p,0,1,0,0,"[118, 102, 84, 62, 36, 0]",0
10.234,['note_on'],[0],[62],[52],p,0,1,0,0,"[6, 24, 38]",0
10.335,['note_on'],[0],[66],[54],p,0,1,0,0,"[48, 60, 66, 72, 76, 82, 86, 88, 94, 98, 100, 106, 110, 114, 120, 126]",0
10.452,['note_on'],[0],[69],[42],pp,0,1,0,0,127,0
10.61,['note_on'],[0],[74],[59],p,0,1,0,0,0,0
10.747,['note_on'],[0],[66],[62],mp,0,1,0,0,0,0
10.85,['note_on'],[0],[69],[45],pp,0,1,0,0,0,0
10.958,['note_on'],[0],[74],[68],mp,0,1,0,0,0,0
11.117,['note_on'],[0],[60],[55],p,0,1,0,0,"[124, 108, 88, 64, 0]",0
11.222,['note_on'],[0],[62],[53],p,0,1,0,0,"[8, 20, 28, 38, 48, 54, 62, 68, 74, 82, 88, 94, 98, 104, 110]",0
11.38,['note_on'],[0],[66],[53],p,0,1,0,0,"[118, 124, 127]",0
11.556,"['note_on', 'note_on']","[0, 0]","[69, 74]","[34, 63]",pp,0,2,0,0,0,0
11.691,['note_on'],[0],[66],[52],p,0,1,0,0,0,0
11.845,['note_on'],[0],[69],[52],p,0,1,0,0,0,0
11.962,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
12.1,['note_on'],[0],[59],[59],p,0,1,0,0,"[110, 92, 65, 32, 0]",0
12.201,['note_on'],[0],[62],[74],mp,0,1,0,0,"[1, 6, 12, 20, 28, 38, 48, 56]",0
