sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[64],[60],p,0,1,127,0,"[112, 122, 127]",62
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,['note_on'],[0],[72],[60],p,0,1,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,"[122, 108, 92, 78, 65, 56]",0
0.6,['note_on'],[0],[76],[64],mp,0,1,0,0,"[42, 36, 28, 26, 34, 42, 56, 72, 94, 118, 127]",0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[58],p,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[61],p,0,1,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[64],[61],p,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
2.1,['note_on'],[0],[72],[61],p,0,1,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
2.5,['note_on'],[0],[67],[59],p,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,['note_on'],[0],[72],[61],p,0,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[76],[62],mp,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[60],[57],p,0,1,0,0,0,0
3.1,['note_on'],[0],[62],[58],p,0,1,0,0,0,0
3.3,['note_on'],[0],[69],[59],p,0,1,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[74],[59],p,0,1,0,0,0,0
3.8,['note_on'],[0],[77],[63],mp,0,1,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[69],[57],p,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[74],[61],p,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[60],[58],p,0,1,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,['note_on'],[0],[62],[56],p,0,1,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,['note_on'],[0],[69],[61],p,0,1,0,0,0,0
5.2,['note_on'],[0],[74],[61],p,0,1,0,0,0,0
5.3,['note_on'],[0],[77],[63],mp,0,1,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[69],[51],p,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[59],[59],p,0,1,0,0,0,0
6.2,['note_on'],[0],[62],[57],p,0,1,0,0,0,0
6.4,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.7,['note_on'],[0],[74],[57],p,0,1,0,0,0,0
6.8,['note_on'],[0],[77],[60],p,0,1,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
7.1,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,['note_on'],[0],[77],[59],p,0,1,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,['note_on'],[0],[59],[63],mp,0,1,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,['note_on'],[0],[62],[60],p,0,1,0,0,0,0
8.4,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
8.5,['note_on'],[0],[74],[60],p,0,1,0,0,0,0
8.4,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,['note_on'],[0],[77],[58],p,0,1,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.4,['note_on'],[0],[60],[57],p,0,1,0,0,0,0
9.6,['note_on'],[0],[64],[56],p,0,1,0,0,0,0
9.8,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.0,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
10.4,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
10.5,['note_on'],[0],[72],[59],p,0,1,0,0,0,0
10.7,['note_on'],[0],[76],[59],p,0,1,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.0,['note_on'],[0],[60],[58],p,0,1,0,0,0,0
11.2,['note_on'],[0],[64],[58],p,0,1,0,0,0,0
11.4,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
11.6,['note_on'],[0],[72],[58],p,0,1,0,0,0,0
11.4,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,['note_on'],[0],[67],[59],p,0,1,0,0,0,0
12.1,['note_on'],[0],[72],[58],p,0,1,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
