sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[69],mp,0,1,127,0,0,62
0.1,['note_on'],[0],[64],[67],mp,0,1,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[52],p,0,1,0,0,0,0
0.6,['note_on'],[0],[76],[69],mp,0,1,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[64],mp,0,1,0,0,"[90, 60, 0]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,['note_on'],[0],[64],[53],p,0,1,0,0,"[6, 20, 36, 50, 60, 70, 78, 86, 92]",0
1.8,[],[],[],[],,0,0,0,0,"[98, 108, 114, 122, 127]",0
1.9,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,['note_on'],[0],[76],[67],mp,0,1,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[67],[52],p,0,1,0,0,0,0
2.6,['note_on'],[0],[72],[61],p,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[60],[51],p,0,1,0,0,"[114, 98]",0
3.0,['note_on'],[0],[62],[60],p,0,1,0,0,"[62, 0]",0
3.1,[],[],[],[],,0,0,0,0,"[12, 28, 38, 50]",0
3.2,['note_on'],[0],[69],[69],mp,0,1,0,0,"[60, 68, 78, 86, 94, 102, 110, 118, 124, 127]",0
3.4,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,['note_on'],[0],[77],[52],p,0,1,0,0,0,0
3.9,['note_on'],[0],[69],[56],p,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,['note_on'],[0],[74],[57],p,0,1,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,['note_on'],[0],[77],[53],p,0,1,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,['note_on'],[0],[60],[47],pp,0,1,0,0,"[114, 100, 86, 65, 44]",0
4.7,[],[],[],[],,0,0,0,0,"[18, 0]",0
4.8,['note_on'],[0],[62],[53],p,0,1,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,"[4, 12, 20, 28, 38, 50]",0
5.0,[],[],[],[],,0,0,0,0,"[58, 66, 74, 80, 88, 92, 98, 104, 112, 118]",0
5.1,['note_on'],[0],[69],[60],p,0,1,0,0,"[126, 127]",0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,['note_on'],[0],[74],[57],p,0,1,0,0,0,0
5.4,"['note_on', 'note_on']","[0, 0]","[77, 69]","[57, 56]",p,0,2,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[74],[53],p,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,['note_on'],[0],[77],[64],mp,0,1,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.0,['note_on'],[0],[59],[61],p,0,1,0,0,"[126, 106, 84, 58, 30, 2, 0]",0
6.2,['note_on'],[0],[62],[57],p,0,1,0,0,"[4, 18, 28, 38]",0
6.3,[],[],[],[],,0,0,0,0,"[48, 60, 70, 80, 90, 100, 108, 116, 124, 127]",0
6.4,['note_on'],[0],[67],[61],p,0,1,0,0,0,0
6.8,"['note_on', 'note_on']","[0, 0]","[74, 77]","[61, 71]",mp,0,2,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,['note_on'],[0],[74],[61],p,0,1,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,['note_on'],[0],[77],[64],mp,0,1,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,['note_on'],[0],[59],[64],mp,0,1,0,0,"[92, 65, 10, 0]",0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,['note_on'],[0],[62],[56],p,0,1,0,0,"[10, 22, 34]",0
8.4,[],[],[],[],,0,0,0,0,"[46, 58, 65, 76, 86, 92, 100, 108, 114, 122]",0
8.5,['note_on'],[0],[67],[58],p,0,1,0,0,127,0
8.5,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
8.5,['note_on'],[0],[77],[67],mp,0,1,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,['note_on'],[0],[74],[64],mp,0,1,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[77],[60],p,0,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.4,['note_on'],[0],[60],[67],mp,0,1,0,0,"[112, 90]",0
9.5,[],[],[],[],,0,0,0,0,"[64, 0]",0
9.6,['note_on'],[0],[64],[62],mp,0,1,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,"[12, 28, 38, 48, 58]",0
9.8,['note_on'],[0],[67],[67],mp,0,1,0,0,"[65, 74, 82, 90, 96, 104, 108, 114, 120, 126]",0
9.9,[],[],[],[],,0,0,0,0,127,0
10.0,['note_on'],[0],[72],[64],mp,0,1,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.0,"['note_on', 'note_on']","[0, 0]","[76, 67]","[69, 61]",mp,0,2,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,['note_on'],[0],[72],[83],mf,1,1,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,0,0
10.8,['note_on'],[0],[76],[81],mf,1,1,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,['note_on'],[0],[60],[64],mp,0,1,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,"[110, 60, 30, 0]",0
11.2,['note_on'],[0],[64],[62],mp,0,1,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,"[18, 34, 50, 62, 74, 86, 94]",0
11.4,['note_on'],[0],[67],[69],mp,0,1,0,0,"[104, 112, 120, 127]",0
11.6,['note_on'],[0],[72],[76],mf,1,1,0,0,0,0
11.6,"['note_on', 'note_on']","[0, 0]","[76, 67]","[81, 71]",mf,1,2,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,['note_on'],[0],[72],[76],mf,1,1,0,0,0,0
12.3,['note_on'],[0],[76],[91],f,1,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,['note_on'],[0],[60],[73],mp,0,1,0,0,122,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,['note_on'],[0],[62],[73],mp,0,1,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,"[42, 64, 84, 100, 118, 127]",0
13.3,['note_on'],[0],[69],[81],mf,1,1,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 81, 69]","[81, 73, 62]",mp,0,3,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,['note_on'],[0],[76],[60],p,0,1,0,0,0,0
13.9,['note_on'],[0],[81],[79],mf,1,1,0,0,0,0
14.0,['note_on'],[0],[60],[71],mp,0,1,0,0,116,0
14.1,[],[],[],[],,0,0,0,0,90,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,[],[],[],[],,0,0,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,60,0
14.6,[],[],[],[],,0,0,0,0,"[30, 0]",0
14.7,['note_on'],[0],[64],[60],p,0,1,0,0,"[1, 22, 38, 56, 68]",0
14.8,[],[],[],[],,0,0,0,0,"[80, 92, 100, 110, 118, 126, 127]",0
14.9,['note_on'],[0],[69],[73],mp,0,1,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
14.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 81, 69]","[81, 91, 73]",mf,1,3,0,0,0,0
15.2,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,['note_on'],[0],[81],[67],mp,0,1,0,0,0,0
15.5,[],[],[],[],,0,0,0,0,0,0
15.6,[],[],[],[],,0,0,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,[],[],[],[],,0,0,0,0,0,0
16.0,[],[],[],[],,0,0,0,0,120,0
15.6,['note_on'],[0],[60],[39],pp,0,1,0,0,"[98, 76]",0
15.7,[],[],[],[],,0,0,0,0,"[22, 0]",0
15.8,['note_on'],[0],[62],[38],pp,0,1,0,0,0,0
15.9,[],[],[],[],,0,0,0,0,"[4, 20, 38, 56]",0
16.0,['note_on'],[0],[66],[57],p,0,1,0,0,"[70, 84, 94, 102, 110, 116, 120, 126, 127]",0
16.1,[],[],[],[],,0,0,0,0,0,0
16.2,['note_on'],[0],[69],[47],pp,0,1,0,0,0,0
16.0,['note_on'],[0],[74],[53],p,0,1,0,0,0,0
16.1,[],[],[],[],,0,0,0,0,0,0
16.5,['note_on'],[0],[66],[57],p,0,1,0,0,0,0
16.6,[],[],[],[],,0,0,0,0,0,0
16.7,['note_on'],[0],[69],[50],p,0,1,0,0,0,0
16.9,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
17.0,[],[],[],[],,0,0,0,0,0,0
17.5,[],[],[],[],,0,0,0,0,0,0
17.6,[],[],[],[],,0,0,0,0,0,0
17.7,['note_on'],[0],[60],[43],pp,0,1,0,0,"[108, 90, 65, 40, 12, 0]",0
17.8,[],[],[],[],,0,0,0,0,0,0
17.9,['note_on'],[0],[62],[46],pp,0,1,0,0,"[2, 18]",0
18.0,[],[],[],[],,0,0,0,0,"[30, 44, 58, 66, 78, 88, 96, 104, 112, 122]",0
18.1,['note_on'],[0],[66],[60],p,0,1,0,0,127,0
18.2,[],[],[],[],,0,0,0,0,0,0
18.3,['note_on'],[0],[69],[56],p,0,1,0,0,0,0
17.9,['note_on'],[0],[74],[64],mp,0,1,0,0,0,0
18.0,['note_on'],[0],[66],[56],p,0,1,0,0,0,0
18.1,[],[],[],[],,0,0,0,0,0,0
18.2,[],[],[],[],,0,0,0,0,0,0
18.3,['note_on'],[0],[69],[60],p,0,1,0,0,0,0
18.4,['note_on'],[0],[74],[83],mf,1,1,0,0,0,0
19.0,[],[],[],[],,0,0,0,0,0,0
19.1,[],[],[],[],,0,0,0,0,0,0
19.2,[],[],[],[],,0,0,0,0,0,0
19.3,[],[],[],[],,0,0,0,0,0,0
19.4,[],[],[],[],,0,0,0,0,0,0
19.5,[],[],[],[],,0,0,0,0,0,0
19.6,[],[],[],[],,0,0,0,0,0,0
19.7,[],[],[],[],,0,0,0,0,0,0
19.2,['note_on'],[0],[59],[79],mf,1,1,0,0,"[126, 106, 4, 0]",0
19.3,['note_on'],[0],[62],[69],mp,0,1,0,0,0,0
19.5,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
19.6,[],[],[],[],,0,0,0,0,"[4, 20, 34, 50, 64, 76, 90, 100, 110, 120]",0
19.2,"['note_on', 'note_on']","[0, 0]","[74, 79]","[86, 98]",f,1,2,0,0,"[126, 127]",0
19.4,['note_on'],[0],[67],[91],f,1,1,0,0,0,0
19.7,[],[],[],[],,0,0,0,0,0,0
19.8,['note_on'],[0],[74],[86],mf,1,1,0,0,0,0
20.0,['note_on'],[0],[79],[100],f,1,1,0,0,0,0
20.7,[],[],[],[],,0,0,0,0,0,0
20.8,[],[],[],[],,0,0,0,0,0,0
20.9,[],[],[],[],,0,0,0,0,0,0
20.8,['note_on'],[0],[59],[73],mp,0,1,0,0,"[120, 104, 64, 42, 14, 0]",0
20.9,['note_on'],[0],[62],[64],mp,0,1,0,0,0,0
21.0,[],[],[],[],,0,0,0,0,"[12, 28, 48]",0
21.1,['note_on'],[0],[67],[79],mf,1,1,0,0,"[62, 76, 90, 104, 116, 126, 127]",0
20.7,['note_on'],[0],[74],[79],mf,1,1,0,0,0,0
20.8,['note_on'],[0],[79],[88],f,1,1,0,0,0,0
20.9,[],[],[],[],,0,0,0,0,0,0
21.0,[],[],[],[],,0,0,0,0,0,0
21.1,['note_on'],[0],[67],[79],mf,1,1,0,0,0,0
21.2,['note_on'],[0],[74],[79],mf,1,1,0,0,0,0
21.4,['note_on'],[0],[79],[83],mf,1,1,0,0,0,0
22.1,[],[],[],[],,0,0,0,0,0,0
22.2,[],[],[],[],,0,0,0,0,0,0
22.3,[],[],[],[],,0,0,0,0,0,0
22.4,[],[],[],[],,0,0,0,0,0,0
22.5,[],[],[],[],,0,0,0,0,0,0
22.6,[],[],[],[],,0,0,0,0,0,0
22.7,[],[],[],[],,0,0,0,0,0,0
22.8,[],[],[],[],,0,0,0,0,0,0
22.9,[],[],[],[],,0,0,0,0,0,0
23.0,[],[],[],[],,0,0,0,0,0,0
22.5,['note_on'],[0],[59],[48],pp,0,1,0,0,"[124, 104, 82, 58, 30, 1]",0
22.6,[],[],[],[],,0,0,0,0,0,0
22.7,['note_on'],[0],[60],[48],pp,0,1,0,0,0,0
22.8,[],[],[],[],,0,0,0,0,"[12, 28, 44, 58, 66, 76]",0
22.9,['note_on'],[0],[64],[51],p,0,1,0,0,"[86, 90, 96, 102, 106, 112, 116, 120, 126, 127]",0
23.0,[],[],[],[],,0,0,0,0,0,0
23.1,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
23.2,[],[],[],[],,0,0,0,0,0,0
22.5,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
22.6,['note_on'],[0],[64],[48],pp,0,1,0,0,0,0
22.7,[],[],[],[],,0,0,0,0,0,0
22.8,['note_on'],[0],[67],[48],pp,0,1,0,0,0,0
23.0,['note_on'],[0],[72],[58],p,0,1,0,0,0,0
24.2,[],[],[],[],,0,0,0,0,0,0
23.5,['note_on'],[0],[59],[43],pp,0,1,0,0,"[124, 106, 90, 66, 44, 18, 0]",0
23.7,['note_on'],[0],[60],[46],pp,0,1,0,0,"[6, 20, 34]",0
23.8,[],[],[],[],,0,0,0,0,"[44, 56, 64, 70, 78, 86, 90, 98, 104, 110]",0
23.9,['note_on'],[0],[64],[48],pp,0,1,0,0,"[116, 122, 126, 127]",0
24.0,[],[],[],[],,0,0,0,0,0,0
24.1,['note_on'],[0],[67],[51],p,0,1,0,0,0,0
24.2,[],[],[],[],,0,0,0,0,0,0
24.1,"['note_on', 'note_on']","[0, 0]","[72, 64]","[57, 42]",p,0,2,0,0,0,0
24.2,[],[],[],[],,0,0,0,0,0,0
24.3,[],[],[],[],,0,0,0,0,0,0
24.4,['note_on'],[0],[67],[43],pp,0,1,0,0,0,0
24.5,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
25.7,[],[],[],[],,0,0,0,0,0,0
25.8,[],[],[],[],,0,0,0,0,0,0
25.9,[],[],[],[],,0,0,0,0,0,0
26.0,[],[],[],[],,0,0,0,0,0,0
26.1,[],[],[],[],,0,0,0,0,0,0
26.2,[],[],[],[],,0,0,0,0,0,0
26.3,[],[],[],[],,0,0,0,0,0,0
25.3,['note_on'],[0],[57],[50],p,0,1,0,0,"[114, 96, 72, 16, 0]",0
25.4,['note_on'],[0],[60],[48],pp,0,1,0,0,0,0
25.5,[],[],[],[],,0,0,0,0,"[6, 20, 32, 42]",0
25.6,['note_on'],[0],[64],[46],pp,0,1,0,0,"[52, 58, 65, 72, 78, 86, 90, 96, 102, 108]",0
25.7,[],[],[],[],,0,0,0,0,"[112, 118, 122, 126, 127]",0
25.8,['note_on'],[0],[67],[52],p,0,1,0,0,0,0
26.0,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
26.1,[],[],[],[],,0,0,0,0,0,0
26.9,['note_on'],[0],[64],[43],pp,0,1,0,0,0,0
27.1,['note_on'],[0],[67],[48],pp,0,1,0,0,0,0
27.3,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
27.4,[],[],[],[],,0,0,0,0,0,0
27.0,['note_on'],[0],[57],[53],p,0,1,0,0,"[118, 102, 86, 64]",0
27.1,[],[],[],[],,0,0,0,0,"[42, 14, 0]",0
27.2,['note_on'],[0],[60],[47],pp,0,1,0,0,0,0
27.3,[],[],[],[],,0,0,0,0,"[4, 18, 28, 38, 48, 58, 64, 72, 80, 88]",0
27.4,['note_on'],[0],[64],[48],pp,0,1,0,0,"[94, 102, 108, 112, 118, 124, 127]",0
27.5,[],[],[],[],,0,0,0,0,0,0
27.6,['note_on'],[0],[67],[50],p,0,1,0,0,0,0
27.7,[],[],[],[],,0,0,0,0,0,0
27.8,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
27.9,[],[],[],[],,0,0,0,0,0,0
28.6,[],[],[],[],,0,0,0,0,0,0
28.7,[],[],[],[],,0,0,0,0,0,0
28.8,['note_on'],[0],[64],[41],pp,0,1,0,0,0,0
28.9,[],[],[],[],,0,0,0,0,0,0
29.0,['note_on'],[0],[67],[41],pp,0,1,0,0,0,0
29.1,[],[],[],[],,0,0,0,0,0,0
29.2,[],[],[],[],,0,0,0,0,0,0
29.3,[],[],[],[],,0,0,0,0,0,0
29.4,[],[],[],[],,0,0,0,0,0,0
29.5,[],[],[],[],,0,0,0,0,0,0
29.6,[],[],[],[],,0,0,0,0,0,0
29.7,[],[],[],[],,0,0,0,0,0,0
29.8,[],[],[],[],,0,0,0,0,0,0
29.9,[],[],[],[],,0,0,0,0,0,0
30.0,[],[],[],[],,0,0,0,0,0,0
30.1,[],[],[],[],,0,0,0,0,0,0
30.2,[],[],[],[],,0,0,0,0,0,0
30.3,[],[],[],[],,0,0,0,0,0,0
30.4,[],[],[],[],,0,0,0,0,0,0
30.5,[],[],[],[],,0,0,0,0,0,0
30.6,[],[],[],[],,0,0,0,0,0,0
30.7,[],[],[],[],,0,0,0,0,0,0
30.8,[],[],[],[],,0,0,0,0,0,0
30.9,[],[],[],[],,0,0,0,0,0,0
31.0,[],[],[],[],,0,0,0,0,0,0
31.1,[],[],[],[],,0,0,0,0,0,0
31.2,[],[],[],[],,0,0,0,0,0,0
31.3,['note_on'],[0],[72],[51],p,0,1,0,0,0,0
29.4,['note_on'],[0],[50],[53],p,0,1,0,0,"[116, 98, 76, 50, 18]",0
29.5,[],[],[],[],,0,0,0,0,0,0
29.6,['note_on'],[0],[57],[48],pp,0,1,0,0,12,0
29.7,[],[],[],[],,0,0,0,0,"[26, 36, 48, 58, 65, 72, 80, 90, 94, 100]",0
29.4,"['note_on', 'note_on']","[0, 0]","[62, 66]","[47, 47]",pp,0,2,0,0,"[108, 112, 118, 122, 126, 127]",0
29.5,[],[],[],[],,0,0,0,0,0,0
29.6,['note_on'],[0],[72],[52],p,0,1,0,0,0,0
29.7,[],[],[],[],,0,0,0,0,0,0
29.8,['note_on'],[0],[62],[42],pp,0,1,0,0,0,0
29.9,[],[],[],[],,0,0,0,0,0,0
30.0,['note_on'],[0],[66],[57],p,0,1,0,0,0,0
30.2,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
31.0,['note_on'],[0],[50],[60],p,0,1,0,0,"[118, 98, 76, 50]",0
31.1,[],[],[],[],,0,0,0,0,0,0
31.2,['note_on'],[0],[57],[48],pp,0,1,0,0,2,0
31.3,[],[],[],[],,0,0,0,0,"[18, 28, 42, 56, 65, 74, 86, 92, 98, 106]",0
30.8,"['note_on', 'note_on']","[0, 0]","[62, 66]","[46, 53]",p,0,2,0,0,"[112, 118, 124, 127]",0
30.9,[],[],[],[],,0,0,0,0,0,0
31.0,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
31.1,[],[],[],[],,0,0,0,0,0,0
31.2,['note_on'],[0],[62],[50],p,0,1,0,0,0,0
31.4,['note_on'],[0],[66],[60],p,0,1,0,0,0,0
31.8,"['note_on', 'note_on']","[0, 0]","[72, 55]","[64, 56]",p,0,2,0,0,"[118, 100, 80, 58, 30, 1]",0
31.9,[],[],[],[],,0,0,0,0,0,0
32.0,['note_on'],[0],[59],[50],p,0,1,0,0,0,0
