sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[44],pp,0,1,0,0,0,0
0.103,[],[],[],[],,0,0,127,0,"[88, 90, 94, 98, 104, 110, 118, 126, 127]",62
0.255,['note_on'],[0],[64],[41],pp,0,1,0,0,0,0
0.382,['note_on'],[0],[67],[48],pp,0,1,0,0,0,0
0.514,['note_on'],[0],[72],[48],pp,0,1,0,0,0,0
0.635,['note_on'],[0],[76],[57],p,0,1,0,0,0,0
0.758,['note_on'],[0],[67],[52],p,0,1,0,0,0,0
0.869,['note_on'],[0],[72],[52],p,0,1,0,0,0,0
0.998,['note_on'],[0],[76],[51],p,0,1,0,0,0,0
1.146,['note_on'],[0],[60],[50],p,0,1,0,0,"[114, 92, 2, 0]",0
1.259,['note_on'],[0],[64],[45],pp,0,1,0,0,"[10, 22, 34, 48, 60, 68, 78, 88, 94, 102, 108, 114, 120, 124, 127]",0
1.365,['note_on'],[0],[67],[48],pp,0,1,0,0,0,0
1.501,['note_on'],[0],[72],[55],p,0,1,0,0,0,0
1.604,['note_on'],[0],[76],[58],p,0,1,0,0,0,0
1.741,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
1.869,['note_on'],[0],[72],[59],p,0,1,0,0,0,0
1.969,['note_on'],[0],[76],[62],mp,0,1,0,0,124,0
2.133,['note_on'],[0],[60],[51],p,0,1,0,0,"[110, 92, 18, 0]",0
2.234,['note_on'],[0],[62],[48],pp,0,1,0,0,"[8, 20, 34, 46, 60, 68, 76, 86, 90, 98, 104, 110]",0
2.397,['note_on'],[0],[69],[52],p,0,1,0,0,"[116, 122, 126, 127]",0
2.514,['note_on'],[0],[74],[59],p,0,1,0,0,0,0
2.635,['note_on'],[0],[77],[63],mp,0,1,0,0,0,0
2.757,['note_on'],[0],[69],[54],p,0,1,0,0,0,0
2.897,['note_on'],[0],[74],[55],p,0,1,0,0,0,0
3.002,['note_on'],[0],[77],[58],p,0,1,0,0,"[126, 120, 108, 94, 78]",0
3.14,['note_on'],[0],[60],[54],p,0,1,0,0,"[56, 2, 0]",0
3.24,['note_on'],[0],[62],[52],p,0,1,0,0,"[1, 12, 26, 34, 44, 56, 62, 70, 80, 88, 92, 100, 108, 114]",0
3.374,['note_on'],[0],[69],[58],p,0,1,0,0,"[120, 126, 127]",0
3.497,['note_on'],[0],[74],[59],p,0,1,0,0,0,0
3.609,['note_on'],[0],[77],[63],mp,0,1,0,0,0,0
3.72,['note_on'],[0],[69],[55],p,0,1,0,0,0,0
3.875,['note_on'],[0],[74],[57],p,0,1,0,0,0,0
3.992,['note_on'],[0],[77],[57],p,0,1,0,0,0,0
4.129,['note_on'],[0],[59],[51],p,0,1,0,0,"[124, 108, 0]",0
4.232,['note_on'],[0],[62],[51],p,0,1,0,0,"[4, 18]",0
4.388,['note_on'],[0],[67],[57],p,0,1,0,0,"[30, 40, 50, 60, 66, 76, 82, 90, 96, 102, 108, 114, 120, 124, 127]",0
4.517,['note_on'],[0],[74],[51],p,0,1,0,0,0,0
4.622,['note_on'],[0],[77],[57],p,0,1,0,0,0,0
4.749,['note_on'],[0],[67],[52],p,0,1,0,0,0,0
4.899,['note_on'],[0],[74],[54],p,0,1,0,0,0,0
5.011,['note_on'],[0],[77],[59],p,0,1,0,0,0,0
5.146,['note_on'],[0],[59],[55],p,0,1,0,0,"[112, 92, 68, 44, 12, 0]",0
5.246,['note_on'],[0],[62],[54],p,0,1,0,0,"[2, 10]",0
5.353,['note_on'],[0],[67],[45],pp,0,1,0,0,"[20, 30, 34, 44, 54, 60, 70, 76, 84, 90, 94, 98, 104, 108, 114, 118, 124]",0
5.458,['note_on'],[0],[74],[48],pp,0,1,0,0,127,0
5.595,['note_on'],[0],[77],[54],p,0,1,0,0,0,0
5.703,['note_on'],[0],[67],[54],p,0,1,0,0,0,0
5.805,['note_on'],[0],[74],[52],p,0,1,0,0,0,0
5.968,['note_on'],[0],[77],[54],p,0,1,0,0,0,0
6.109,['note_on'],[0],[60],[54],p,0,1,0,0,"[126, 106, 82, 54, 20, 0]",0
6.21,['note_on'],[0],[64],[62],mp,0,1,0,0,"[2, 10, 18]",0
6.315,[],[],[],[],,0,0,0,0,"[26, 30, 38, 46, 56, 60, 66, 72, 80, 86, 90, 92, 98, 104, 108, 112]",0
6.484,['note_on'],[0],[72],[50],p,0,1,0,0,"[116, 120, 124, 126, 127]",0
6.602,['note_on'],[0],[76],[58],p,0,1,0,0,0,0
6.716,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
6.828,['note_on'],[0],[72],[59],p,0,1,0,0,0,0
6.958,['note_on'],[0],[76],[63],mp,0,1,0,0,0,0
7.129,['note_on'],[0],[60],[54],p,0,1,0,0,"[116, 96, 34, 0]",0
7.232,['note_on'],[0],[64],[58],p,0,1,0,0,"[4, 18, 30, 40, 50, 60, 70]",0
7.36,['note_on'],[0],[67],[62],mp,0,1,0,0,"[78, 88, 94, 102, 108, 116, 124, 127]",0
7.464,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
7.611,['note_on'],[0],[76],[63],mp,0,1,0,0,0,0
7.741,['note_on'],[0],[67],[64],mp,0,1,0,0,0,0
7.869,['note_on'],[0],[72],[66],mp,0,1,0,0,0,0
7.978,['note_on'],[0],[76],[62],mp,0,1,0,0,"[124, 110, 94, 70, 44]",0
8.101,['note_on'],[0],[60],[57],p,0,1,0,0,0,0
8.227,['note_on'],[0],[64],[55],p,0,1,0,0,"[12, 28, 40, 56, 64, 74, 82, 90, 94, 98, 104, 108, 112, 118, 122, 126, 127]",0
8.33,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
8.491,['note_on'],[0],[76],[58],p,0,1,0,0,0,0
8.609,"['note_on', 'note_on']","[0, 0]","[81, 83]","[43, 43]",pp,0,2,0,0,0,0
8.758,['note_on'],[0],[69],[63],mp,0,1,0,0,0,0
8.883,['note_on'],[0],[76],[59],p,0,1,0,0,0,0
8.986,['note_on'],[0],[81],[71],mp,0,1,0,0,"[120, 98]",0
9.13,['note_on'],[0],[60],[58],p,0,1,0,0,"[6, 0]",0
9.242,['note_on'],[0],[64],[57],p,0,1,0,0,"[12, 28, 40, 56, 65, 76, 88, 96, 106, 112, 120, 124, 127]",0
9.353,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
9.456,['note_on'],[0],[76],[54],p,0,1,0,0,0,0
9.635,['note_on'],[0],[81],[78],mf,1,1,0,0,0,0
9.752,['note_on'],[0],[69],[59],p,0,1,0,0,0,0
9.885,['note_on'],[0],[76],[51],p,0,1,0,0,0,0
10.005,['note_on'],[0],[81],[67],mp,0,1,0,0,0,0
10.135,['note_on'],[0],[60],[58],p,0,1,0,0,"[118, 100, 78, 52, 0]",0
10.238,['note_on'],[0],[62],[55],p,0,1,0,0,8,0
10.349,['note_on'],[0],[66],[62],mp,0,1,0,0,"[18, 28, 38, 50, 58, 64, 70, 78, 84, 90, 94, 100, 108, 112, 118, 124, 127]",0
10.452,['note_on'],[0],[69],[45],pp,0,1,0,0,0,0
10.619,['note_on'],[0],[74],[50],p,0,1,0,0,0,0
10.743,['note_on'],[0],[66],[48],pp,0,1,0,0,0,0
10.85,['note_on'],[0],[69],[44],pp,0,1,0,0,0,0
10.982,['note_on'],[0],[74],[50],p,0,1,0,0,0,0
11.127,['note_on'],[0],[60],[48],pp,0,1,0,0,"[108, 50, 14, 0]",0
11.23,"['note_on', 'note_on']","[0, 0]","[62, 66]","[45, 52]",pp,0,2,0,0,"[4, 18, 28, 34, 44, 54, 60, 68, 76, 84, 90, 96, 102, 108, 112]",0
11.345,[],[],[],[],,0,0,0,0,"[118, 124, 127]",0
11.466,['note_on'],[0],[69],[50],p,0,1,0,0,0,0
11.589,['note_on'],[0],[74],[51],p,0,1,0,0,0,0
11.692,['note_on'],[0],[66],[51],p,0,1,0,0,0,0
11.839,['note_on'],[0],[69],[54],p,0,1,0,0,0,0
11.96,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
12.096,['note_on'],[0],[59],[67],mp,0,1,0,0,"[122, 100, 78, 48, 14, 0]",0
12.204,['note_on'],[0],[62],[55],p,0,1,0,0,"[8, 38, 56, 65, 76, 86, 92, 100, 108, 112]",0
12.31,['note_on'],[0],[67],[58],p,0,1,0,0,"[118, 124, 127]",0
12.479,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
12.602,"['note_on', 'note_on']","[0, 0]","[81, 79]","[50, 58]",p,0,2,0,0,0,0
12.736,['note_on'],[0],[67],[48],pp,0,1,0,0,0,0
12.884,['note_on'],[0],[74],[66],mp,0,1,0,0,0,0
12.992,['note_on'],[0],[79],[71],mp,0,1,0,0,0,0
13.14,['note_on'],[0],[59],[64],mp,0,1,0,0,0,0
13.242,['note_on'],[0],[62],[57],p,0,1,0,0,"[8, 22, 36, 52, 64, 74, 86, 92, 100, 108, 112, 118, 124]",0
13.388,['note_on'],[0],[67],[67],mp,0,1,0,0,127,0
13.517,['note_on'],[0],[74],[64],mp,0,1,0,0,0,0
13.648,['note_on'],[0],[81],[69],mp,0,1,0,0,0,0
13.75,"['note_on', 'note_on']","[0, 0]","[67, 69]","[44, 36]",pp,0,2,0,0,0,0
13.889,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
13.994,['note_on'],[0],[81],[67],mp,0,1,0,0,124,0
14.151,['note_on'],[0],[59],[55],p,0,1,0,0,"[110, 92, 68, 46, 1, 0]",0
14.256,['note_on'],[0],[60],[54],p,0,1,0,0,0,0
14.366,['note_on'],[0],[64],[55],p,0,1,0,0,0,0
14.503,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
14.64,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
14.779,['note_on'],[0],[64],[48],pp,0,1,0,0,0,0
14.908,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
15.012,['note_on'],[0],[72],[50],p,0,1,0,0,"[4, 14, 20, 28, 32, 36, 40, 42, 40, 34, 28, 22]",0
15.162,['note_on'],[0],[59],[50],p,0,1,0,0,"[16, 10, 6, 4, 2, 1, 0]",0
15.289,['note_on'],[0],[60],[51],p,0,1,0,0,0,0
15.424,['note_on'],[0],[64],[51],p,0,1,0,0,0,0
15.556,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
15.661,['note_on'],[0],[72],[62],mp,0,1,0,0,"[8, 20, 30, 36, 48, 56, 62, 68, 76, 80]",0
15.81,['note_on'],[0],[64],[48],pp,0,1,0,0,"[86, 90, 96, 104, 110, 120, 127]",0
15.938,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
16.042,['note_on'],[0],[72],[50],p,0,1,0,0,"[124, 110, 94, 74, 20, 0]",0
16.157,['note_on'],[0],[57],[58],p,0,1,0,0,0,0
16.259,['note_on'],[0],[60],[50],p,0,1,0,0,"[6, 16, 26, 34, 44, 54, 60, 66, 74, 80, 86, 90, 92, 98, 102]",0
16.386,['note_on'],[0],[64],[51],p,0,1,0,0,"[106, 110, 116, 120, 124, 127]",0
16.532,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
16.66,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
16.761,['note_on'],[0],[64],[50],p,0,1,0,0,0,0
16.895,['note_on'],[0],[67],[59],p,0,1,0,0,0,0
16.999,['note_on'],[0],[72],[62],mp,0,1,0,0,"[124, 114, 100, 86, 46, 24]",0
17.143,['note_on'],[0],[57],[52],p,0,1,0,0,"[1, 0]",0
17.256,['note_on'],[0],[60],[52],p,0,1,0,0,"[10, 28, 44, 60, 74, 88, 98, 110, 118, 126, 127]",0
17.391,['note_on'],[0],[64],[58],p,0,1,0,0,0,0
17.517,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
17.641,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
17.761,['note_on'],[0],[64],[50],p,0,1,0,0,0,0
17.877,['note_on'],[0],[67],[59],p,0,1,0,0,0,0
17.983,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
18.13,['note_on'],[0],[50],[67],mp,0,1,0,0,"[112, 92, 42, 12, 0]",0
18.233,['note_on'],[0],[57],[58],p,0,1,0,0,"[10, 22, 36, 50, 62, 74, 86, 94, 102, 108, 116, 124]",0
18.366,['note_on'],[0],[66],[59],p,0,1,0,0,127,0
18.484,['note_on'],[0],[69],[57],p,0,1,0,0,0,0
18.747,['note_on'],[0],[72],[58],p,0,1,0,0,0,0
18.875,['note_on'],[0],[66],[59],p,0,1,0,0,0,0
18.976,['note_on'],[0],[72],[57],p,0,1,0,0,"[110, 92]",0
19.125,['note_on'],[0],[50],[66],mp,0,1,0,0,"[68, 44, 12, 0]",0
19.252,['note_on'],[0],[57],[62],mp,0,1,0,0,"[8, 20, 34, 48, 60, 70, 80, 90, 98, 106, 114, 120, 126, 127]",0
19.376,['note_on'],[0],[62],[57],p,0,1,0,0,0,0
19.498,['note_on'],[0],[66],[52],p,0,1,0,0,0,0
19.617,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
19.727,['note_on'],[0],[62],[54],p,0,1,0,0,0,0
19.83,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 98, 91, 99, 96, 94, 93, 66, 100, 89, 95, 92, 101, 90]","[98, 64, 45, 75, 69, 44, 41, 65, 69, 76, 50, 33, 47, 50]",p,0,14,0,0,0,0
19.94,['note_on'],[0],[72],[66],mp,0,1,0,0,"[120, 106]",0
20.105,['note_on'],[0],[55],[62],mp,0,1,0,0,"[62, 32, 0]",0
20.209,['note_on'],[0],[59],[58],p,0,1,0,0,"[2, 10, 18, 26, 30, 34]",0
20.312,['note_on'],[0],[62],[50],p,0,1,0,0,"[40, 46, 50, 54, 58, 60, 62, 65, 66, 70, 76, 80, 86, 90, 92, 94]",0
20.42,['note_on'],[0],[67],[52],p,0,1,0,0,"[96, 100, 104, 108, 112, 116, 120, 124, 126, 127]",0
20.583,['note_on'],[0],[71],[64],mp,0,1,0,0,0,0
20.747,['note_on'],[0],[62],[54],p,0,1,0,0,0,0
20.858,['note_on'],[0],[67],[59],p,0,1,0,0,0,0
20.98,['note_on'],[0],[71],[66],mp,0,1,0,0,0,0
21.12,['note_on'],[0],[55],[63],mp,0,1,0,0,"[118, 94, 62, 0]",0
21.223,['note_on'],[0],[59],[58],p,0,1,0,0,"[20, 36, 52, 64, 74, 86, 90, 96, 104, 110, 116, 124]",0
21.362,['note_on'],[0],[62],[58],p,0,1,0,0,127,0
21.483,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
21.605,"['note_on', 'note_on']","[0, 0]","[72, 71]","[63, 58]",p,0,2,0,0,0,0
21.714,['note_on'],[0],[62],[54],p,0,1,0,0,0,0
21.868,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
21.972,"['note_on', 'note_on']","[0, 0]","[72, 71]","[72, 57]",mp,0,2,0,0,"[124, 106, 88, 64, 34]",0
22.123,['note_on'],[0],[55],[62],mp,0,1,0,0,"[4, 0]",0
22.225,['note_on'],[0],[58],[55],p,0,1,0,0,"[1, 14, 28, 38, 52, 60, 70, 78, 86, 90, 96, 100, 104, 110, 114, 118]",0
