sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[63],mp,0,1,0,0,0,0
0.199,['note_on'],[0],[64],[53],p,0,1,127,0,0,62
0.308,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
0.428,['note_on'],[0],[72],[61],p,0,1,0,0,0,0
0.582,['note_on'],[0],[76],[67],mp,0,1,0,0,0,0
0.685,['note_on'],[0],[67],[59],p,0,1,0,0,0,0
0.836,['note_on'],[0],[72],[65],mp,0,1,0,0,0,0
0.948,['note_on'],[0],[76],[63],mp,0,1,0,0,"[126, 108, 56]",0
1.076,['note_on'],[0],[60],[60],p,0,1,0,0,0,0
1.224,['note_on'],[0],[64],[53],p,0,1,0,0,"[6, 22, 38, 54, 64, 74, 86, 96, 106, 114, 124, 127]",0
1.332,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
1.442,['note_on'],[0],[72],[60],p,0,1,0,0,0,0
1.589,['note_on'],[0],[76],[65],mp,0,1,0,0,0,0
1.706,['note_on'],[0],[67],[61],p,0,1,0,0,0,0
1.841,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
1.968,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
2.105,['note_on'],[0],[60],[56],p,0,1,0,0,"[118, 38, 0]",0
2.207,['note_on'],[0],[62],[56],p,0,1,0,0,"[6, 22, 36, 50, 62, 72, 82, 90, 98]",0
2.396,['note_on'],[0],[69],[63],mp,0,1,0,0,"[106, 114, 120, 126, 127]",0
2.529,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
2.658,['note_on'],[0],[77],[69],mp,0,1,0,0,0,0
2.786,['note_on'],[0],[69],[60],p,0,1,0,0,0,0
2.912,['note_on'],[0],[74],[71],mp,0,1,0,0,0,0
3.039,['note_on'],[0],[77],[65],mp,0,1,0,0,0,0
3.17,['note_on'],[0],[60],[59],p,0,1,0,0,"[126, 106, 60, 32, 2, 0]",0
3.272,['note_on'],[0],[62],[63],mp,0,1,0,0,"[6, 22, 36, 52, 62, 74, 86, 92]",0
3.417,['note_on'],[0],[69],[67],mp,0,1,0,0,"[100, 108, 116, 124, 127]",0
3.543,['note_on'],[0],[74],[63],mp,0,1,0,0,0,0
3.661,['note_on'],[0],[77],[71],mp,0,1,0,0,0,0
3.767,['note_on'],[0],[69],[61],p,0,1,0,0,0,0
3.907,['note_on'],[0],[74],[71],mp,0,1,0,0,0,0
4.02,['note_on'],[0],[77],[71],mp,0,1,0,0,0,0
4.181,['note_on'],[0],[59],[65],mp,0,1,0,0,"[124, 116, 106, 94, 78, 60, 34, 0]",0
4.285,['note_on'],[0],[62],[63],mp,0,1,0,0,"[1, 14, 28, 36, 46, 56, 62, 68]",0
4.428,['note_on'],[0],[67],[63],mp,0,1,0,0,"[74, 80, 86, 92, 98, 104, 110, 116, 120, 124, 127]",0
4.555,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
4.662,['note_on'],[0],[77],[80],mf,1,1,0,0,0,0
4.764,['note_on'],[0],[67],[71],mp,0,1,0,0,0,0
4.93,['note_on'],[0],[74],[71],mp,0,1,0,0,0,0
5.033,['note_on'],[0],[77],[69],mp,0,1,0,0,0,0
5.178,['note_on'],[0],[59],[67],mp,0,1,0,0,"[120, 108, 92, 72, 18, 0]",0
5.283,['note_on'],[0],[62],[61],p,0,1,0,0,"[8, 20, 30, 40, 52, 60, 70, 80, 88, 96]",0
5.416,['note_on'],[0],[67],[73],mp,0,1,0,0,"[104, 110, 118, 124, 127]",0
5.532,['note_on'],[0],[74],[73],mp,0,1,0,0,0,0
5.644,['note_on'],[0],[77],[76],mf,1,1,0,0,0,0
5.775,['note_on'],[0],[67],[73],mp,0,1,0,0,0,0
5.893,['note_on'],[0],[74],[76],mf,1,1,0,0,0,0
6.019,['note_on'],[0],[77],[76],mf,1,1,0,0,0,0
6.147,['note_on'],[0],[60],[73],mp,0,1,0,0,"[124, 108, 88, 64, 6, 0]",0
6.249,['note_on'],[0],[64],[67],mp,0,1,0,0,"[8, 18, 28, 38, 50, 60]",0
6.38,['note_on'],[0],[67],[63],mp,0,1,0,0,"[66, 74, 80, 90, 96, 102, 108, 116, 122, 127]",0
6.503,['note_on'],[0],[72],[73],mp,0,1,0,0,0,0
6.621,['note_on'],[0],[76],[73],mp,0,1,0,0,0,0
6.749,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
6.876,['note_on'],[0],[72],[73],mp,0,1,0,0,0,0
6.985,['note_on'],[0],[76],[78],mf,1,1,0,0,0,0
7.122,['note_on'],[0],[60],[65],mp,0,1,0,0,"[124, 110, 94, 74, 20, 0]",0
7.226,['note_on'],[0],[64],[61],p,0,1,0,0,"[10, 28, 40, 56, 65, 78]",0
7.356,['note_on'],[0],[67],[76],mf,1,1,0,0,"[88, 96, 106, 116, 124, 127]",0
7.489,['note_on'],[0],[72],[78],mf,1,1,0,0,0,0
7.605,['note_on'],[0],[76],[76],mf,1,1,0,0,0,0
7.73,['note_on'],[0],[67],[78],mf,1,1,0,0,0,0
7.864,['note_on'],[0],[72],[82],mf,1,1,0,0,0,0
7.983,['note_on'],[0],[76],[76],mf,1,1,0,0,0,0
8.115,['note_on'],[0],[60],[73],mp,0,1,0,0,"[124, 106, 88, 64, 38, 0]",0
8.219,['note_on'],[0],[64],[76],mf,1,1,0,0,"[4, 18, 34, 48, 60]",0
8.347,['note_on'],[0],[69],[80],mf,1,1,0,0,"[70, 80, 90, 98, 108, 118, 126, 127]",0
8.481,['note_on'],[0],[76],[84],mf,1,1,0,0,0,0
8.611,['note_on'],[0],[81],[87],mf,1,1,0,0,0,0
8.715,['note_on'],[0],[69],[80],mf,1,1,0,0,0,0
8.87,['note_on'],[0],[76],[82],mf,1,1,0,0,0,0
8.986,['note_on'],[0],[81],[89],f,1,1,0,0,0,0
9.117,['note_on'],[0],[60],[71],mp,0,1,0,0,"[120, 106, 92, 74, 54, 30, 1, 0]",0
9.221,['note_on'],[0],[64],[69],mp,0,1,0,0,"[12, 28, 42, 56]",0
9.349,['note_on'],[0],[69],[78],mf,1,1,0,0,"[65, 76, 86, 92, 98, 108, 114, 124, 127]",0
9.485,['note_on'],[0],[76],[78],mf,1,1,0,0,0,0
9.619,['note_on'],[0],[81],[80],mf,1,1,0,0,0,0
9.735,['note_on'],[0],[69],[76],mf,1,1,0,0,0,0
9.871,['note_on'],[0],[76],[80],mf,1,1,0,0,0,0
9.999,['note_on'],[0],[81],[76],mf,1,1,0,0,0,0
10.133,['note_on'],[0],[60],[51],p,0,1,0,0,"[124, 98, 44, 12, 0]",0
10.238,['note_on'],[0],[62],[55],p,0,1,0,0,"[18, 30, 48]",0
10.368,['note_on'],[0],[66],[61],p,0,1,0,0,"[60, 72, 84, 92, 100, 108, 114, 120, 126, 127]",0
10.51,['note_on'],[0],[69],[52],p,0,1,0,0,0,0
10.621,['note_on'],[0],[74],[65],mp,0,1,0,0,0,0
