sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[52],p,0,1,127,0,0,62
0.1,['note_on'],[0],[64],[50],p,0,1,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[76],[59],p,0,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,['note_on'],[0],[72],[58],p,0,1,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,['note_on'],[0],[76],[59],p,0,1,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,['note_on'],[0],[60],[55],p,0,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[64],[53],p,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[72],[55],p,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[76],[56],p,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[72],[58],p,0,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on']","[0, 0]","[76, 60]","[56, 54]",p,0,2,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,['note_on'],[0],[62],[52],p,0,1,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,"[1, 8, 16, 18, 22, 30, 44, 60, 74]",0
3.4,['note_on'],[0],[69],[56],p,0,1,0,0,"[90, 102, 114, 126, 127]",0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[74],[59],p,0,1,0,0,0,0
3.8,['note_on'],[0],[77],[59],p,0,1,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[69],[55],p,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[77],[58],p,0,1,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[60],[54],p,0,1,0,0,"[124, 108, 90]",0
4.8,[],[],[],[],,0,0,0,0,"[54, 40, 14, 1, 0]",0
4.9,['note_on'],[0],[62],[54],p,0,1,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,['note_on'],[0],[69],[56],p,0,1,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
5.4,"['note_on', 'note_on']","[0, 0]","[77, 69]","[57, 55]",p,0,2,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,['note_on'],[0],[77],[56],p,0,1,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.0,['note_on'],[0],[59],[54],p,0,1,0,0,0,0
6.1,['note_on'],[0],[62],[54],p,0,1,0,0,0,0
6.3,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.7,"['note_on', 'note_on']","[0, 0]","[74, 77]","[59, 59]",p,0,2,0,0,0,0
6.9,['note_on'],[0],[67],[61],p,0,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,"[16, 36, 58, 72, 86, 96, 108]",0
7.1,['note_on'],[0],[74],[59],p,0,1,0,0,"[120, 127]",0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,['note_on'],[0],[77],[59],p,0,1,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,['note_on'],[0],[59],[54],p,0,1,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,['note_on'],[0],[62],[54],p,0,1,0,0,0,0
8.4,['note_on'],[0],[67],[59],p,0,1,0,0,"[122, 102, 82, 58]",0
8.4,['note_on'],[0],[74],[58],p,0,1,0,0,"[30, 0]",0
8.4,['note_on'],[0],[77],[59],p,0,1,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,['note_on'],[0],[74],[57],p,0,1,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[77],[59],p,0,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.4,['note_on'],[0],[60],[52],p,0,1,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,"[1, 20, 36, 58, 74, 92, 108, 124, 127]",0
9.6,['note_on'],[0],[64],[50],p,0,1,0,0,0,0
