sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,100,0,0,64
0.043,[],[],[],[],,0,0,0,0,127,0
0.089,['note_on'],[0],[60],[44],pp,0,1,0,0,0,0
0.139,[],[],[],[],,0,0,0,0,0,0
0.189,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[64],[40],pp,0,1,0,0,0,0
0.25,[],[],[],[],,0,0,0,0,0,0
0.297,['note_on'],[0],[67],[49],p,0,1,0,0,0,0
0.347,[],[],[],[],,0,0,0,0,0,0
0.39,[],[],[],[],,0,0,0,0,0,0
0.405,['note_on'],[0],[72],[47],pp,0,1,0,0,0,0
0.455,[],[],[],[],,0,0,0,0,0,0
0.505,[],[],[],[],,0,0,0,0,0,0
0.51,['note_on'],[0],[76],[54],p,0,1,0,0,0,0
0.516,[],[],[],[],,0,0,0,0,0,0
0.625,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
0.675,[],[],[],[],,0,0,0,0,0,0
0.714,[],[],[],[],,0,0,0,0,0,0
0.754,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
0.758,[],[],[],[],,0,0,0,0,0,0
0.771,[],[],[],[],,0,0,0,0,0,0
0.869,[],[],[],[],,0,0,0,0,0,0
0.871,['note_on'],[0],[76],[58],p,0,1,0,0,0,0
0.921,[],[],[],[],,0,0,0,0,0,0
0.951,[],[],[],[],,0,0,0,0,80,0
0.956,[],[],[],[],,0,0,0,0,40,0
0.964,[],[],[],[],,0,0,0,0,8,0
0.97,[],[],[],[],,0,0,0,0,0,0
0.986,['note_on'],[0],[60],[49],p,0,1,0,0,0,0
0.997,[],[],[],[],,0,0,0,0,4,0
1.005,[],[],[],[],,0,0,0,0,18,0
1.014,[],[],[],[],,0,0,0,0,34,0
1.019,[],[],[],[],,0,0,0,0,52,0
1.025,[],[],[],[],,0,0,0,0,68,0
1.034,[],[],[],[],,0,0,0,0,90,0
1.039,[],[],[],[],,0,0,0,0,114,0
1.044,[],[],[],[],,0,0,0,0,127,0
1.094,[],[],[],[],,0,0,0,0,0,0
1.104,['note_on'],[0],[64],[41],pp,0,1,0,0,0,0
1.154,[],[],[],[],,0,0,0,0,0,0
1.2040000000000002,[],[],[],[],,0,0,0,0,0,0
1.218,['note_on'],[0],[67],[54],p,0,1,0,0,0,0
1.268,[],[],[],[],,0,0,0,0,0,0
1.318,[],[],[],[],,0,0,0,0,0,0
1.334,[],[],[],[],,0,0,0,0,0,0
1.349,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
1.399,[],[],[],[],,0,0,0,0,0,0
1.449,[],[],[],[],,0,0,0,0,0,0
1.461,[],[],[],[],,0,0,0,0,0,0
1.469,['note_on'],[0],[76],[59],p,0,1,0,0,0,0
1.519,[],[],[],[],,0,0,0,0,0,0
1.5690000000000002,[],[],[],[],,0,0,0,0,0,0
1.585,['note_on'],[0],[67],[64],mp,0,1,0,0,0,0
1.635,[],[],[],[],,0,0,0,0,0,0
1.649,[],[],[],[],,0,0,0,0,0,0
1.673,[],[],[],[],,0,0,0,0,0,0
1.705,[],[],[],[],,0,0,0,0,0,0
1.712,[],[],[],[],,0,0,0,0,0,0
1.73,['note_on'],[0],[72],[60],p,0,1,0,0,0,0
1.78,[],[],[],[],,0,0,0,0,0,0
1.83,[],[],[],[],,0,0,0,0,0,0
1.857,['note_on'],[0],[76],[63],mp,0,1,0,0,0,0
1.907,[],[],[],[],,0,0,0,0,0,0
1.951,[],[],[],[],,0,0,0,0,0,0
1.959,[],[],[],[],,0,0,0,0,92,0
1.98,['note_on'],[0],[60],[55],p,0,1,0,0,0,0
1.984,[],[],[],[],,0,0,0,0,0,0
2.034,[],[],[],[],,0,0,0,0,0,0
2.071,[],[],[],[],,0,0,0,0,68,0
2.086,[],[],[],[],,0,0,0,0,127,0
2.102,['note_on'],[0],[62],[47],pp,0,1,0,0,0,0
2.152,[],[],[],[],,0,0,0,0,0,0
2.2019999999999995,[],[],[],[],,0,0,0,0,0,0
2.245,['note_on'],[0],[69],[53],p,0,1,0,0,0,0
2.295,[],[],[],[],,0,0,0,0,0,0
2.345,[],[],[],[],,0,0,0,0,0,0
2.379,['note_on'],[0],[74],[56],p,0,1,0,0,0,0
2.429,[],[],[],[],,0,0,0,0,0,0
2.451,[],[],[],[],,0,0,0,0,0,0
2.503,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
2.549,[],[],[],[],,0,0,0,0,0,0
2.631,['note_on'],[0],[69],[59],p,0,1,0,0,0,0
2.681,[],[],[],[],,0,0,0,0,0,0
2.7309999999999994,[],[],[],[],,0,0,0,0,0,0
2.773,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
2.775,[],[],[],[],,0,0,0,0,0,0
2.802,[],[],[],[],,0,0,0,0,0,0
2.821,[],[],[],[],,0,0,0,0,0,0
2.84,[],[],[],[],,0,0,0,0,0,0
2.878,['note_on'],[0],[77],[51],p,0,1,0,0,0,0
2.928,[],[],[],[],,0,0,0,0,0,0
2.939,[],[],[],[],,0,0,0,0,0,0
2.999,[],[],[],[],,0,0,0,0,18,0
3.006,['note_on'],[0],[60],[55],p,0,1,0,0,0,0
3.007,[],[],[],[],,0,0,0,0,0,0
3.057,[],[],[],[],,0,0,0,0,0,0
3.079,[],[],[],[],,0,0,0,0,12,0
3.088,[],[],[],[],,0,0,0,0,38,0
3.108,[],[],[],[],,0,0,0,0,127,0
3.126,['note_on'],[0],[62],[51],p,0,1,0,0,0,0
3.176,[],[],[],[],,0,0,0,0,0,0
3.2259999999999995,[],[],[],[],,0,0,0,0,0,0
3.236,['note_on'],[0],[69],[60],p,0,1,0,0,0,0
3.286,[],[],[],[],,0,0,0,0,0,0
3.336,[],[],[],[],,0,0,0,0,0,0
3.378,['note_on'],[0],[74],[60],p,0,1,0,0,0,0
3.395,[],[],[],[],,0,0,0,0,0,0
3.412,[],[],[],[],,0,0,0,0,0,0
3.497,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
3.541,[],[],[],[],,0,0,0,0,0,0
3.623,['note_on'],[0],[69],[56],p,0,1,0,0,0,0
3.673,[],[],[],[],,0,0,0,0,0,0
3.764,['note_on'],[0],[74],[68],mp,0,1,0,0,0,0
3.768,[],[],[],[],,0,0,0,0,0,0
3.797,[],[],[],[],,0,0,0,0,0,0
3.864,['note_on'],[0],[77],[70],mp,0,1,0,0,0,0
3.886,[],[],[],[],,0,0,0,0,0,0
3.974,[],[],[],[],,0,0,0,0,110,0
3.988,[],[],[],[],,0,0,0,0,36,0
3.995,['note_on'],[0],[59],[58],p,0,1,0,0,1,0
4.003,[],[],[],[],,0,0,0,0,0,0
4.017,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,98,0
4.116,['note_on'],[0],[62],[66],mp,0,1,0,0,0,0
4.118,[],[],[],[],,0,0,0,0,127,0
4.168,[],[],[],[],,0,0,0,0,0,0
4.209,[],[],[],[],,0,0,0,0,0,0
4.246,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
4.296,[],[],[],[],,0,0,0,0,0,0
4.346,[],[],[],[],,0,0,0,0,0,0
4.376,['note_on'],[0],[74],[68],mp,0,1,0,0,0,0
4.394,[],[],[],[],,0,0,0,0,0,0
4.494,['note_on'],[0],[77],[71],mp,0,1,0,0,0,0
4.515,[],[],[],[],,0,0,0,0,0,0
4.625,['note_on'],[0],[67],[73],mp,0,1,0,0,0,0
4.675,[],[],[],[],,0,0,0,0,0,0
4.724,[],[],[],[],,0,0,0,0,0,0
4.732,[],[],[],[],,0,0,0,0,0,0
4.751,[],[],[],[],,0,0,0,0,0,0
4.759,['note_on'],[0],[74],[66],mp,0,1,0,0,0,0
4.762,[],[],[],[],,0,0,0,0,0,0
4.829,[],[],[],[],,0,0,0,0,0,0
4.862,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
4.912,[],[],[],[],,0,0,0,0,0,0
4.962,[],[],[],[],,0,0,0,0,0,0
4.969,['note_on'],[0],[59],[56],p,0,1,0,0,0,0
