sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,"[100, 62]",127,0,"[64, 28]"
0.05,[],[],[],[],,0,0,0,0,0,0
0.1,[],[],[],[],,0,0,0,0,0,0
0.15,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.25,[],[],[],[],,0,0,0,0,0,0
0.251,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
0.301,[],[],[],[],,0,0,0,0,0,0
0.351,[],[],[],[],,0,0,0,0,0,0
0.376,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
0.426,[],[],[],[],,0,0,0,0,0,0
0.476,[],[],[],[],,0,0,0,0,0,0
0.501,['note_on'],[0],[76],[53],p,0,1,0,0,0,0
0.551,[],[],[],[],,0,0,0,0,0,0
0.6010000000000001,[],[],[],[],,0,0,0,0,0,0
0.614,[],[],[],[],,0,0,0,0,0,0
0.626,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
0.676,[],[],[],[],,0,0,0,0,0,0
0.7260000000000001,[],[],[],[],,0,0,0,0,0,0
0.751,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
0.801,[],[],[],[],,0,0,0,0,0,0
0.8510000000000001,[],[],[],[],,0,0,0,0,0,0
0.876,['note_on'],[0],[76],[53],p,0,1,0,0,0,0
0.926,[],[],[],[],,0,0,0,0,0,0
0.976,[],[],[],[],,0,0,0,0,0,0
1.001,[],[],[],[],,0,0,0,0,0,0
1.251,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
1.301,[],[],[],[],,0,0,0,0,0,0
1.351,[],[],[],[],,0,0,0,0,0,0
1.376,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
1.426,[],[],[],[],,0,0,0,0,0,0
1.476,[],[],[],[],,0,0,0,0,0,0
1.501,['note_on'],[0],[76],[53],p,0,1,0,0,0,0
1.551,[],[],[],[],,0,0,0,0,0,0
1.601,[],[],[],[],,0,0,0,0,0,0
1.614,[],[],[],[],,0,0,0,0,0,0
1.626,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
1.676,[],[],[],[],,0,0,0,0,0,0
1.726,[],[],[],[],,0,0,0,0,0,0
