sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,100,0,0,0
0.152,['note_on'],[0],[60],[78],mf,1,1,0,0,"[104, 76, 44, 10, 0]",64
0.267,['note_on'],[0],[62],[57],p,0,1,0,0,"[20, 44, 70, 98, 124, 127]",0
0.397,['note_on'],[0],[69],[73],mp,0,1,0,0,0,0
0.535,['note_on'],[0],[74],[56],p,0,1,0,0,0,0
0.642,['note_on'],[0],[76],[65],mp,0,1,0,0,0,0
0.765,['note_on'],[0],[67],[71],mp,0,1,0,0,0,0
0.894,['note_on'],[0],[72],[71],mp,0,1,0,0,0,0
1.005,['note_on'],[0],[76],[59],p,0,1,0,0,0,0
1.133,['note_on'],[0],[60],[56],p,0,1,0,0,"[126, 96, 0]",0
1.245,['note_on'],[0],[64],[71],mp,0,1,0,0,"[44, 72, 100, 126, 127]",0
1.357,['note_on'],[0],[67],[76],mf,1,1,0,0,0,0
1.488,['note_on'],[0],[72],[66],mp,0,1,0,0,0,0
1.623,['note_on'],[0],[76],[78],mf,1,1,0,0,0,0
1.724,"['note_on', 'note_on']","[0, 0]","[69, 72]","[37, 42]",pp,0,2,0,0,0,0
1.928,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
2.072,"['note_on', 'note_on']","[0, 0]","[69, 60]","[46, 63]",p,0,2,0,0,0,0
2.272,['note_on'],[0],[62],[59],p,0,1,0,0,"[126, 102, 78, 54, 28, 1, 0]",0
2.406,['note_on'],[0],[69],[74],mp,0,1,0,0,"[34, 62, 88, 112, 127]",0
2.519,['note_on'],[0],[74],[50],p,0,1,0,0,0,0
2.624,['note_on'],[0],[79],[84],mf,1,1,0,0,0,0
2.765,['note_on'],[0],[69],[66],mp,0,1,0,0,0,0
2.893,['note_on'],[0],[74],[57],p,0,1,0,0,0,0
3.036,['note_on'],[0],[77],[71],mp,0,1,0,0,0,0
3.143,['note_on'],[0],[60],[78],mf,1,1,0,0,"[24, 0]",0
3.246,['note_on'],[0],[62],[84],mf,1,1,0,0,"[12, 40, 68]",0
3.377,['note_on'],[0],[67],[82],mf,1,1,0,0,"[120, 127]",0
3.503,['note_on'],[0],[72],[58],p,0,1,0,0,0,0
3.618,['note_on'],[0],[76],[68],mp,0,1,0,0,0,0
3.742,['note_on'],[0],[67],[68],mp,0,1,0,0,0,0
3.87,['note_on'],[0],[72],[65],mp,0,1,0,0,0,0
3.994,['note_on'],[0],[76],[68],mp,0,1,0,0,0,0
4.117,['note_on'],[0],[59],[76],mf,1,1,0,0,"[102, 0]",0
4.238,['note_on'],[0],[62],[74],mp,0,1,0,0,"[12, 42, 70, 98, 124, 127]",0
