sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,100,0,0,0
0.182,['note_on'],[0],[60],[54],p,0,1,0,0,127,64
0.394,"['note_on', 'note_on']","[0, 0]","[64, 67]","[55, 57]",p,0,2,0,0,0,0
0.533,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
0.641,['note_on'],[0],[76],[62],mp,0,1,0,0,0,0
0.758,['note_on'],[0],[67],[64],mp,0,1,0,0,0,0
0.877,['note_on'],[0],[72],[68],mp,0,1,0,0,0,0
1.006,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
1.106,['note_on'],[0],[60],[59],p,0,1,0,0,"[112, 92, 72, 52, 32, 12, 0, 4, 20]",0
1.241,['note_on'],[0],[64],[59],p,0,1,0,0,"[36, 54, 70, 86, 102, 118, 127]",0
1.367,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
1.495,['note_on'],[0],[72],[66],mp,0,1,0,0,0,0
1.607,['note_on'],[0],[76],[76],mf,1,1,0,0,0,0
1.733,['note_on'],[0],[67],[70],mp,0,1,0,0,0,0
1.866,['note_on'],[0],[72],[64],mp,0,1,0,0,0,0
1.995,['note_on'],[0],[76],[55],p,0,1,0,0,0,0
2.124,['note_on'],[0],[60],[56],p,0,1,0,0,"[106, 78, 18, 0]",0
2.251,['note_on'],[0],[62],[62],mp,0,1,0,0,"[38, 62, 104, 124, 127]",0
2.391,['note_on'],[0],[69],[54],p,0,1,0,0,0,0
2.529,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
2.647,['note_on'],[0],[77],[64],mp,0,1,0,0,0,0
2.767,['note_on'],[0],[69],[57],p,0,1,0,0,0,0
2.911,['note_on'],[0],[74],[66],mp,0,1,0,0,0,0
3.024,['note_on'],[0],[77],[72],mp,0,1,0,0,0,0
3.125,['note_on'],[0],[60],[59],p,0,1,0,0,"[122, 92, 32, 6, 0]",0
3.27,['note_on'],[0],[62],[59],p,0,1,0,0,"[1, 14, 30, 46, 62, 76, 92, 106, 122, 127]",0
3.396,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
3.524,['note_on'],[0],[74],[68],mp,0,1,0,0,0,0
3.634,['note_on'],[0],[77],[70],mp,0,1,0,0,0,0
3.76,['note_on'],[0],[69],[70],mp,0,1,0,0,0,0
3.873,['note_on'],[0],[74],[70],mp,0,1,0,0,0,0
3.978,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
4.108,['note_on'],[0],[59],[62],mp,0,1,0,0,0,0
4.258,['note_on'],[0],[62],[62],mp,0,1,0,0,"[10, 56, 74, 96, 114, 127]",0
4.394,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
4.521,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
4.636,['note_on'],[0],[77],[72],mp,0,1,0,0,0,0
4.757,['note_on'],[0],[67],[74],mp,0,1,0,0,0,0
4.875,['note_on'],[0],[74],[74],mp,0,1,0,0,0,0
