sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,"[1, 4, 8, 10, 12]",0
0.2,[],[],[],[],,0,0,0,0,"[14, 16, 18, 22, 26, 28]",0
0.3,[],[],[],[],,0,0,0,0,"[30, 34, 38, 42, 44, 48, 50, 52, 54, 56]",0
0.4,[],[],[],[],,0,0,0,0,"[58, 60, 62, 64]",0
0.5,[],[],[],[],,0,0,0,0,"[65, 66, 68, 70, 74, 76]",0
0.6,[],[],[],[],,0,0,0,0,"[80, 82, 86, 90, 94, 96, 100, 104, 106, 110, 112]",0
0.7,[],[],[],[],,0,0,0,0,"[114, 118, 120, 122, 124, 126]",0
0.8,[],[],[],[],,0,0,0,0,127,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[80],mf,1,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[71],[76],mf,1,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 57, 64, 53]","[90, 63, 64, 66]",mp,0,4,0,0,"[120, 92, 0]",0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,"[30, 65, 118, 127]",0
2.9,"['note_on', 'note_on']","[0, 0]","[62, 53]","[66, 62]",mp,0,2,0,0,0,0
3.0,['note_on'],[0],[57],[51],p,0,1,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,['note_on'],[0],[62],[66],mp,0,1,0,0,0,0
3.3,"['note_on', 'note_on']","[0, 0]","[57, 53]","[53, 42]",pp,0,2,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[66, 61, 56]",p,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[61, 61, 51]",p,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on']","[0, 0]","[62, 53]","[52, 55]",p,0,2,0,0,0,0
4.3,['note_on'],[0],[57],[53],p,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 53, 71, 57]","[56, 55, 97, 50]",mp,0,4,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on']","[0, 0]","[62, 57]","[53, 42]",pp,0,2,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 62, 69]","[55, 50, 59]",p,0,3,0,0,"[112, 90, 62, 30, 0]",0
5.3,"['note_on', 'note_on']","[0, 0]","[71, 57]","[82, 42]",mp,0,2,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,"[14, 56, 72, 86, 98, 110, 120, 127]",0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 62, 57]","[48, 53, 44]",pp,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 54, 57]","[68, 63, 44]",p,0,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,"['note_on', 'note_on']","[0, 0]","[54, 62]","[51, 51]",p,0,2,0,0,0,0
6.3,['note_on'],[0],[57],[35],ppp,0,1,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[75, 51, 44]",p,0,3,0,0,"[52, 0]",0
6.7,[],[],[],[],,0,0,0,0,"[2, 48, 66, 82, 100]",0
6.8,[],[],[],[],,0,0,0,0,"[116, 127]",0
6.9,"['note_on', 'note_on']","[0, 0]","[63, 53]","[56, 46]",p,0,2,0,0,0,0
7.0,['note_on'],[0],[57],[37],pp,0,1,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on']","[0, 0]","[72, 63]","[92, 65]",mf,1,2,0,0,0,0
7.3,['note_on'],[0],[53],[55],p,0,1,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,['note_on'],[0],[63],[47],pp,0,1,0,0,0,0
7.6,['note_on'],[0],[53],[44],pp,0,1,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 56, 62, 52]","[97, 61, 57, 61]",mp,0,4,0,0,"[108, 60, 40, 22, 12]",0
8.0,['note_on'],[0],[60],[44],pp,0,1,0,0,"[8, 10, 14, 20, 28, 42, 56, 70, 84, 96]",0
8.1,[],[],[],[],,0,0,0,0,"[106, 118, 126, 127]",0
8.2,['note_on'],[0],[62],[57],p,0,1,0,0,0,0
8.3,"['note_on', 'note_on']","[0, 0]","[56, 52]","[46, 48]",pp,0,2,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[70, 60, 61]",mp,0,3,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
