sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,8,0
1.4,[],[],[],[],,0,0,0,0,"[20, 30, 42, 52, 64, 72, 82, 92, 100, 108]",0
1.5,[],[],[],[],,0,0,0,0,"[118, 126, 127]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[59],[31],ppp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[37],pp,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,"[110, 0]",0
2.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 59, 64, 55]","[48, 31, 24, 29]",ppp,0,4,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,"[58, 108, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[19, 23, 17]",ppp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[27, 26, 23]",ppp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
