sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,100,0,0,0
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,"[1, 8, 12, 18, 22, 28]",0
1.0,[],[],[],[],,0,0,0,0,"[34, 36, 38, 40, 42, 46, 48, 50, 52, 54]",0
1.1,[],[],[],[],,0,0,0,0,"[56, 58, 60, 62, 64]",0
1.2,[],[],[],[],,0,0,0,0,"[65, 66, 70, 72, 74, 72, 65, 56, 42]",0
1.3,[],[],[],[],,0,0,0,0,"[30, 16, 4, 0]",0
1.4,[],[],[],[],,0,0,0,0,"[38, 62, 74]",0
1.5,[],[],[],[],,0,0,0,0,"[88, 102, 114, 124, 127]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[59],[51],p,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[69],mp,0,1,0,0,0,0
2.6,['note_on'],[0],[71],[78],mf,1,1,0,0,"[118, 94]",0
2.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[51, 50, 44]",pp,0,3,0,0,"[50, 28, 12, 6, 12, 40, 58, 68, 86, 100]",0
2.8,[],[],[],[],,0,0,0,0,"[120, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[49, 47, 47]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[62, 55, 59]",p,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[62, 58, 67]",mp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[78, 74, 69]",mp,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[77, 73, 74]",mp,0,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 64, 55, 59]","[89, 74, 73, 69]",mf,1,4,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[83, 81, 70]",mf,1,3,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 57, 54]","[93, 82, 65, 65]",mf,1,4,0,0,"[94, 68, 0]",0
5.4,[],[],[],[],,0,0,0,0,"[1, 26, 70, 92, 114, 127]",0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 54]","[67, 57, 62]",mp,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[64],[77],mf,1,1,0,0,0,0
6.0,"['note_on', 'note_on']","[0, 0]","[54, 57]","[59, 67]",mp,0,2,0,0,0,0
