sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[75, 64, 57, 76, 60]","[88, 67, 65, 98, 67]",mf,1,5,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[82, 69, 72]",mp,0,3,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[76],[98],f,1,1,0,0,0,0
0.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[79, 69, 62]",mp,0,3,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[72, 63, 51]",mp,0,3,0,0,0,0
0.9,['note_on'],[0],[76],[98],f,1,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 60, 57]","[100, 81, 63, 65]",mf,1,4,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[69, 73, 62]",mp,0,3,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 60, 64, 57]","[88, 72, 72, 65]",mp,0,4,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[72, 67, 65]",mp,0,3,0,0,0,0
2.0,['note_on'],[0],[69],[84],mf,1,1,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 64, 59, 57]","[95, 75, 67, 60]",mp,0,4,0,0,0,0
2.2,['note_on'],[0],[62],[60],p,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 64, 57, 59, 62]","[88, 67, 56, 56, 52]",mp,0,5,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 59, 57, 68, 62]","[60, 52, 51, 91, 51]",p,0,5,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,"[2, 16, 30, 44, 52, 60, 65, 72]",0
2.9,['note_on'],[0],[64],[55],p,0,1,0,0,"[80, 86, 90, 92, 94, 96]",0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 62, 59]","[49, 49, 45]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,"[94, 90, 82, 74, 64, 52, 36]",0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[62, 57, 55, 52]",p,0,4,0,0,"[14, 0]",0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 64, 57, 62]","[57, 65, 60, 57]",p,0,4,0,0,0,0
