sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,100,0,0,64
0.1,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0, 0]","[57, 60, 62, 64, 75, 76, 77]","[61, 62, 49, 51, 88, 81, 74]",mp,0,7,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 60, 64, 62]","[70, 62, 49, 49]",p,0,4,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 77, 64]","[94, 83, 54]",mf,1,3,0,0,0,0
0.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 62]","[59, 58, 45]",p,0,3,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on']","[0, 0]","[60, 57]","[64, 59]",p,0,2,0,0,0,0
0.9,"['note_on', 'note_on']","[0, 0]","[76, 74]","[81, 91]",mf,1,2,0,0,0,0
1.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 74, 60]","[86, 85, 61]",mf,1,3,0,0,0,0
1.1,"['note_on', 'note_on']","[0, 0]","[57, 64]","[64, 49]",p,0,2,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 64]","[62, 62, 58]",p,0,3,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[72, 57, 60]","[97, 63, 57]",mp,0,3,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_on', 'note_on']","[0, 0]","[60, 57]","[64, 59]",p,0,2,0,0,0,0
1.9,"['note_on', 'note_on']","[0, 0]","[62, 64]","[47, 49]",pp,0,2,0,0,0,0
2.0,['note_on'],[0],[69],[81],mf,1,1,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[70, 57, 60, 62, 64]","[99, 59, 63, 45, 47]",mp,0,5,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,['note_on'],[0],[68],[73],mp,0,1,0,0,0,0
2.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 60, 62]","[64, 59, 43]",p,0,3,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 68, 57]","[57, 93, 57]",mp,0,3,0,0,0,0
2.7,"['note_on', 'note_on']","[0, 0]","[62, 64]","[45, 49]",pp,0,2,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 62, 64]","[58, 57, 45, 47]",p,0,4,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 64, 62]","[67, 72, 54, 53]",p,0,4,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 62, 64]","[69, 72, 52, 53]",p,0,4,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[75, 60, 57, 59, 62, 64]","[94, 66, 55, 64, 54, 55]",mp,0,6,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_on', 'note_on']","[0, 0]","[60, 57]","[68, 62]",mp,0,2,0,0,0,0
4.1,"['note_on', 'note_on']","[0, 0]","[62, 64]","[51, 53]",p,0,2,0,0,0,0
4.2,['note_on'],[0],[71],[82],mf,1,1,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[77, 60, 57, 62, 64]","[95, 64, 66, 52, 53]",mp,0,5,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 62, 64]","[64, 61, 45, 46]",p,0,4,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 60, 57]","[97, 67, 68]",mf,1,3,0,0,0,0
4.9,"['note_on', 'note_on']","[0, 0]","[62, 64]","[50, 51]",p,0,2,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 60, 62]","[63, 59, 47]",p,0,3,0,0,0,0
5.2,"['note_on', 'note_on']","[0, 0]","[64, 74]","[50, 85]",mp,0,2,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[74, 60, 57, 64, 62]","[97, 69, 69, 54, 51]",mp,0,5,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[60],[63],mp,0,1,0,0,0,0
5.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 77, 64, 76]","[63, 63, 45, 72]",p,0,4,0,0,0,0
5.8,"['note_on', 'note_on']","[0, 0]","[74, 72]","[54, 57]",p,0,2,0,0,0,0
5.9,"['note_on', 'note_on']","[0, 0]","[60, 57]","[63, 61]",mp,0,2,0,0,0,0
6.0,['note_on'],[0],[71],[79],mf,1,1,0,0,0,0
6.1,['note_on'],[0],[69],[74],mp,0,1,0,0,0,0
6.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 67]","[67, 63, 73]",mp,0,3,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 62, 57, 64]","[94, 54, 58, 61]",mp,0,4,0,0,0,0
6.5,['note_on'],[0],[59],[56],p,0,1,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 59, 62, 64, 57]","[84, 56, 55, 57, 49]",p,0,5,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[68, 57, 62, 64]","[85, 67, 54, 55]",mp,0,4,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 57, 59]","[51, 51, 47, 45]",pp,0,4,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[64, 66, 64, 61]",mp,0,4,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 57, 64, 59]","[68, 68, 68, 58]",mp,0,4,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,['note_on'],[0],[75],[93],f,1,1,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[66, 67, 63, 55]",mp,0,4,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 62, 59]","[64, 58, 63]",p,0,3,0,0,0,0
8.5,"['note_on', 'note_on']","[0, 0]","[57, 71]","[54, 74]",mp,0,2,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[76, 73, 64, 60, 57]","[92, 88, 64, 67, 70]",mf,1,5,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,"['note_on', 'note_on']","[0, 0]","[57, 59]","[61, 64]",mp,0,2,0,0,0,0
9.1,"['note_on', 'note_on']","[0, 0]","[69, 73]","[72, 47]",p,0,2,0,0,0,0
9.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 52, 73]","[94, 73, 70]",mf,1,3,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,['note_on'],[0],[49],[83],mf,1,1,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[45],[79],mf,1,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,"['note_on', 'note_on']","[0, 0]","[72, 69]","[79, 77]",mf,1,2,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,"['note_on', 'note_on']","[0, 0]","[74, 71]","[88, 83]",mf,1,2,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,"['note_on', 'note_on']","[0, 0]","[76, 72]","[86, 82]",mf,1,2,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,['note_on'],[0],[76],[83],mf,1,1,0,0,0,0
10.9,['note_on'],[0],[73],[74],mp,0,1,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
