sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 60, 64, 75, 76]","[52, 52, 50, 66, 86]",p,0,5,100,0,"[102, 108, 110, 112, 114, 116, 118, 120, 124]",64
0.1,"['note_on', 'note_on']","[0, 0]","[57, 64]","[42, 48]",pp,0,2,0,0,"[126, 127]",0
0.2,['note_on'],[0],[60],[46],pp,0,1,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,"[124, 100, 78, 60]",0
0.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[89, 55, 57, 54]",mp,0,4,0,0,"[42, 32, 28, 26, 30, 36, 44, 56, 65, 78]",0
0.6,[],[],[],[],,0,0,0,0,"[88, 98, 106, 114, 118, 122, 126, 127]",0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[47, 48, 48]",pp,0,3,0,0,0,0
0.9,['note_on'],[0],[76],[81],mf,1,1,0,0,0,0
1.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 57, 60]","[89, 60, 53, 58]",mp,0,4,0,0,"[112, 92, 72, 56, 38, 22, 12, 4]",0
1.1,[],[],[],[],,0,0,0,0,"[0, 2, 8, 16, 28, 40, 52, 62]",0
1.2,[],[],[],[],,0,0,0,0,"[72, 80, 86, 92, 96, 102, 106, 110, 114, 118]",0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[57, 60, 52]",p,0,3,0,0,"[122, 124, 127]",0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 64, 72]","[57, 51, 53, 86]",p,0,4,0,0,"[120, 98, 76, 56, 38, 24, 12, 4, 1, 0]",0
1.7,[],[],[],[],,0,0,0,0,"[1, 6, 12, 18, 32, 44, 60, 74, 90, 102]",0
1.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[65, 50, 50]",p,0,3,0,0,"[118, 127]",0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[69],[81],mf,1,1,0,0,90,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 57, 62, 69, 59]","[63, 60, 57, 100, 57]",mp,0,5,0,0,"[46, 26, 14, 0]",0
2.2,[],[],[],[],,0,0,0,0,"[1, 18, 34, 52, 66, 82, 94, 102]",0
2.3,[],[],[],[],,0,0,0,0,"[110, 114, 118, 120, 122, 124, 127]",0
2.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 64, 62, 59, 68]","[60, 55, 50, 44, 89]",p,0,5,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,"[122, 108, 68, 44]",0
2.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 68, 62, 64, 59]","[57, 86, 50, 53, 53]",p,0,5,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,"[48, 74, 98, 120, 127]",0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 62]","[52, 52, 50]",p,0,3,0,0,0,0
3.0,['note_on'],[0],[59],[51],p,0,1,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,"[126, 124]",0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[55, 53, 50, 50]",p,0,4,0,0,"[122, 120]",0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,"[122, 124, 127]",0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 62, 59]","[60, 60, 58, 53]",p,0,4,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,"[124, 104, 58, 16]",0
3.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[74, 57, 64, 62, 59]","[86, 61, 57, 51, 53]",p,0,5,0,0,"[0, 4]",0
3.9,[],[],[],[],,0,0,0,0,"[20, 34, 48, 64, 76, 90, 100, 108, 116, 122]",0
4.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 57, 59]","[57, 60, 61, 43]",p,0,4,0,0,"[126, 127]",0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,['note_on'],[0],[71],[84],mf,1,1,0,0,"[116, 94]",0
4.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 76, 60]","[58, 54, 93, 58]",mp,0,4,0,0,"[8, 0]",0
4.4,[],[],[],[],,0,0,0,0,"[14, 34, 60, 72, 86]",0
4.5,[],[],[],[],,0,0,0,0,"[98, 108, 118, 124, 127]",0
