sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 60, 64, 75, 76]","[35, 26, 37, 41, 97]",pp,0,5,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[21, 30, 24]",ppp,0,3,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 76, 64, 60]","[29, 87, 30, 39]",pp,0,4,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[28, 33, 35]",ppp,0,3,0,0,0,0
0.9,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
1.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 76, 57, 60]","[35, 95, 39, 41]",p,0,4,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[30, 43, 39]",pp,0,3,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 64, 72]","[55, 37, 43, 83]",p,0,4,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 64]","[30, 39, 20]",ppp,0,3,0,0,0,0
1.9,['note_on'],[0],[69],[73],mp,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 62, 69, 59, 57]","[43, 39, 89, 37, 28]",pp,0,5,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,"['note_on', 'note_on']","[0, 0]","[62, 57]","[26, 37]",ppp,0,2,0,0,0,0
2.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 68]","[30, 28, 87]",pp,0,3,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[68, 62, 57]","[78, 28, 43]",p,0,3,0,0,"[126, 0]",0
2.7,"['note_on', 'note_on']","[0, 0]","[64, 59]","[35, 29]",ppp,0,2,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[35, 37, 24, 24]",ppp,0,4,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[51, 41, 55, 37]",pp,0,4,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 59, 57]","[39, 28, 30, 49]",pp,0,4,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
