sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[78, 71, 74]",mp,0,3,84,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 60, 57]","[100, 82, 78, 75]",mf,1,4,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[71, 66, 66]",mp,0,3,0,0,0,0
0.7,['note_on'],[0],[76],[98],f,1,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,126,0
0.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 60, 76, 57]","[73, 70, 100, 73]",mf,1,4,0,0,"[108, 94, 82, 72, 66, 64, 65, 74, 88, 98]",0
1.0,[],[],[],[],,0,0,0,0,"[106, 112, 120, 124, 126, 127]",0
1.1,['note_on'],[0],[64],[69],mp,0,1,0,0,0,0
1.2,"['note_on', 'note_on']","[0, 0]","[60, 57]","[68, 59]",mp,0,2,0,0,"[120, 94]",0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[63, 73, 69]",mp,0,3,0,0,0,0
1.5,['note_on'],[0],[72],[84],mf,1,1,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[62, 68, 62]",mp,0,3,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[69],[71],mp,0,1,0,0,0,0
2.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 62, 59, 64, 57]","[98, 70, 70, 71, 56]",mp,0,5,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[62, 64, 68, 59, 57]","[63, 69, 83, 60, 52]",mp,0,5,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 59, 62, 64, 57]","[88, 58, 63, 57, 57]",mp,0,5,0,0,"[16, 60]",0
2.7,[],[],[],[],,0,0,0,0,"[78, 96, 108, 124, 127]",0
2.8,['note_on'],[0],[64],[53],p,0,1,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 59, 57]","[55, 57, 53]",p,0,3,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 59, 57]","[60, 59, 59, 53]",p,0,4,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 62, 59, 64]","[52, 54, 63, 55]",p,0,4,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
