sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on']","[0, 0]","[64, 60]","[75, 71]",mp,0,2,84,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 60, 57]","[99, 68, 72, 76]",mf,1,4,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[65, 62, 58]",p,0,3,0,0,0,0
0.7,['note_on'],[0],[76],[84],mf,1,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[100, 68, 67, 67]",mf,0,4,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[65, 62, 65]",mp,0,3,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 60, 72]","[67, 65, 64, 93]",mp,0,4,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 60, 64]","[60, 55, 55]",p,0,3,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[69],[71],mp,0,1,0,0,"[118, 46, 0]",0
2.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 59, 62, 64, 57]","[94, 67, 64, 56, 52]",mp,0,5,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,"[72, 104, 127]",0
2.2,[],[],[],[],,0,0,0,0,0,0
