sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 60, 64, 75, 76]","[47, 44, 38, 52, 63]",pp,0,5,84,0,"[12, 28, 42, 56, 64, 74, 84, 90, 96, 100, 104]",64
0.1,[],[],[],[],,0,0,0,0,"[106, 108, 110, 114, 116, 118, 120, 122, 126]",0
0.2,[],[],[],[],,0,0,0,0,127,0
0.3,"['note_on', 'note_on']","[0, 0]","[64, 57]","[42, 44]",pp,0,2,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 60, 57]","[63, 49, 49, 47]",p,0,4,0,0,"[120, 110, 96, 80, 34, 10, 0]",0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[44, 50, 48]",pp,0,3,0,0,0,0
0.9,['note_on'],[0],[76],[45],pp,0,1,0,0,0,0
1.0,['note_on'],[0],[76],[75],mf,0,1,0,0,0,0
1.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 60, 64]","[47, 51, 39]",pp,0,3,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 60, 64]","[45, 49, 44]",pp,0,3,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 72, 57, 64]","[57, 53, 40, 44]",pp,0,4,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_on', 'note_on']","[0, 0]","[57, 60]","[45, 49]",pp,0,2,0,0,0,0
1.9,['note_on'],[0],[64],[39],pp,0,1,0,0,0,0
2.0,['note_on'],[0],[69],[56],p,0,1,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 64, 62, 59, 57]","[67, 45, 51, 49, 37]",p,0,5,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 62, 68, 57, 59]","[51, 52, 63, 42, 47]",p,0,5,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 62, 68, 57, 59]","[44, 53, 69, 42, 44]",p,0,5,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[42, 50, 44, 47]",pp,0,4,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on']","[0, 0]","[62, 64]","[53, 52]",p,0,2,0,0,0,0
3.3,"['note_on', 'note_on']","[0, 0]","[57, 59]","[39, 45]",pp,0,2,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 59, 57]","[55, 48, 44, 39]",pp,0,4,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[74, 64, 57, 59, 62]","[67, 49, 44, 44, 57]",p,0,5,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,['note_on'],[0],[64],[39],pp,0,1,0,0,0,0
4.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 59, 71]","[49, 47, 57]",p,0,3,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 60, 57]","[76, 48, 50, 48]",p,0,4,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[50, 48, 53]",p,0,3,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 57, 64, 60]","[73, 47, 48, 52]",p,0,4,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[47, 44, 42]",pp,0,3,0,0,0,0
5.2,['note_on'],[0],[76],[51],p,0,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 57, 60]","[73, 47, 44, 54]",p,0,4,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
