sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 62, 64, 75, 76]","[82, 77, 81, 80, 80]",mf,1,5,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 62]","[79, 82, 75]",mf,1,3,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,"['note_on', 'note_on']","[0, 0]","[76, 64]","[81, 89]",mf,1,2,0,0,0,0
0.5,"['note_on', 'note_on']","[0, 0]","[62, 57]","[85, 81]",mf,1,2,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 64]","[77, 79, 77]",mf,1,3,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[76],[74],mp,0,1,0,0,0,0
1.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 62, 57]","[93, 92, 88, 85]",f,1,4,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 62]","[81, 82, 79]",mf,1,3,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_on', 'note_on']","[0, 0]","[71, 64]","[86, 86]",mf,1,2,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 72]","[88, 80, 49]",mp,0,3,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 62]","[77, 70, 76]",mp,0,3,0,0,0,0
1.9,['note_on'],[0],[67],[80],mf,1,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[67, 64, 62, 57]","[88, 92, 85, 82]",mf,1,4,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[66, 64, 62, 57, 59]","[95, 85, 80, 77, 66]",mf,1,5,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on']","[0, 0]","[68, 64]","[95, 84]",f,1,2,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 59]","[80, 75, 64]",mp,0,3,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[80, 80, 73, 66]",mp,0,4,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[84, 80, 77, 71]",mf,1,4,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[77, 73, 73]",mp,0,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[74],[92],f,1,1,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 64, 57]","[88, 84, 77]",mf,1,3,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
