chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,89.0,87.0,80.89,84.0,92.8
2,78.0,77.0,87.02,64.0,91.6
3,77.5,82.0,81.57,84.0,94.0
4,77.5,79.0,75.49,60.0,90.4
5,74.5,76.0,88.01,20.0,89.2
6,77.5,77.0,74.76,68.0,95.2
7,80.0,82.0,78.4,80.0,94.0
8,88.5,66.0,86.0,18.0,96.4
9,94.5,61.0,79.2,0.0,89.2
10,94.5,71.0,72.48,24.0,88.0
11,98.0,85.0,90.33,64.0,90.4
12,90.5,90.0,69.46,64.0,91.6
13,98.0,90.0,74.6,72.0,90.4
14,99.5,65.0,87.16,8.0,92.8
15,95.5,81.0,74.79,6.0,89.2
16,96.5,86.0,68.42,84.0,91.6
17,99.5,86.0,85.88,96.0,91.6
18,85.0,97.0,69.57,54.1,96.4
