chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,92.0,92.0,76.79,100.0,94.0
2,80.5,91.0,79.68,92.0,90.4
3,70.0,91.0,75.65,100.0,91.6
4,69.0,86.0,62.02,72.0,91.6
5,72.0,88.0,74.04,84.0,94.0
6,86.0,90.0,72.88,96.0,92.8
7,78.0,84.0,62.9,100.0,91.6
8,85.5,67.0,67.05,36.0,91.6
9,69.5,62.0,74.28,4.0,89.2
10,83.0,81.0,72.21,68.0,91.6
11,73.5,87.0,80.02,84.0,90.4
12,82.5,91.0,70.49,88.0,92.8
13,85.0,91.0,67.2,84.0,91.6
14,86.0,69.0,82.39,18.0,92.8
15,73.5,84.0,74.7,34.0,90.4
16,79.0,81.0,75.32,72.0,92.8
17,79.5,85.0,85.94,72.0,90.4
18,78.57,93.0,78.26,74.6,96.4
