chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,95.5,87.0,83.62,88.0,95.2
2,91.5,80.0,100.0,68.0,91.6
3,84.0,84.0,84.98,96.0,92.8
4,94.5,81.0,86.39,60.0,91.6
5,97.0,87.0,81.04,80.0,92.8
6,100.0,76.0,87.65,64.0,92.8
7,97.0,70.0,83.77,76.0,92.8
8,99.5,66.0,80.51,32.0,91.6
9,95.0,50.0,88.88,4.0,90.4
10,98.0,72.0,80.17,48.0,90.4
11,93.5,81.0,70.7,64.0,91.6
12,96.5,90.0,67.67,96.0,91.6
13,100.0,82.0,89.32,100.0,92.8
14,98.5,61.0,86.06,14.0,92.8
15,95.5,76.0,87.89,16.0,90.4
16,96.0,82.0,77.51,84.0,92.8
17,97.0,86.0,74.88,100.0,91.6
18,91.43,92.0,77.07,100.0,95.2
