chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,94.5,97.0,84.27,100.0,94.0
2,96.5,93.0,82.96,100.0,92.8
3,97.5,96.0,85.45,92.0,91.6
4,96.5,92.0,66.16,96.0,91.6
5,99.5,80.0,77.91,64.0,92.8
6,100.0,90.0,80.4,96.0,91.6
7,98.0,92.0,89.1,100.0,92.8
8,97.5,77.0,78.06,52.0,91.6
9,99.0,74.0,95.88,24.0,89.2
10,95.5,91.0,88.47,76.0,90.4
11,96.0,93.0,73.51,80.0,88.0
12,97.0,87.0,73.16,68.0,91.6
13,98.5,92.0,89.97,80.0,92.8
14,100.0,82.0,89.18,36.0,92.8
15,93.5,80.0,77.31,36.0,90.4
16,97.5,89.0,77.38,80.0,92.8
17,97.5,93.0,77.09,84.0,92.8
18,91.43,94.0,65.64,49.21,96.4
