chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,91.5,90.0,89.3,88.0,94.0
2,91.0,82.0,88.61,80.0,91.6
3,94.0,85.0,81.0,72.0,92.8
4,89.5,76.0,75.69,60.0,91.6
5,84.0,79.0,82.0,56.0,92.8
6,92.5,76.0,85.42,72.0,91.6
7,89.0,74.0,97.62,88.0,92.8
8,89.0,72.0,79.54,46.0,94.0
9,84.5,75.0,90.74,34.0,89.2
10,89.5,69.0,71.92,12.0,89.2
11,87.5,80.0,74.72,64.0,91.6
12,83.5,91.0,89.65,56.0,92.8
13,93.0,91.0,98.91,80.0,91.6
14,89.0,84.0,86.0,60.0,92.8
15,85.5,84.0,85.62,36.0,90.4
16,90.0,74.0,90.19,44.0,91.6
17,92.0,91.0,80.96,68.0,91.6
18,90.0,93.0,79.89,30.16,96.4
