chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,94.5,91.0,84.27,88.0,94.0
2,96.0,84.0,92.53,84.0,91.6
3,99.5,87.0,80.42,72.0,94.0
4,98.5,82.0,79.49,68.0,91.6
5,100.0,82.0,86.94,64.0,92.8
6,100.0,82.0,85.77,84.0,91.6
7,99.5,79.0,91.04,92.0,92.8
8,100.0,78.0,82.42,46.0,91.6
9,92.5,73.0,79.81,2.0,90.4
10,98.0,72.0,68.7,32.0,92.8
11,97.0,86.0,83.34,68.0,90.4
12,97.5,93.0,76.96,60.0,90.4
13,99.5,92.0,98.06,80.0,91.6
14,100.0,81.0,85.29,44.0,94.0
15,99.0,85.0,76.02,38.0,90.4
16,98.0,73.0,90.62,28.0,94.0
17,96.5,94.0,83.72,84.0,92.8
18,92.86,91.0,66.72,36.51,97.6
