chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,98.5,94.0,87.97,100.0,100.0
2,97.5,93.0,80.17,100.0,100.0
3,97.0,90.0,80.36,100.0,100.0
4,97.0,90.0,77.2,100.0,100.0
5,95.5,90.0,72.81,88.0,100.0
6,95.5,93.0,68.04,100.0,98.8
7,95.5,93.0,78.76,100.0,97.6
8,96.0,91.0,84.49,100.0,100.0
9,93.0,89.0,85.07,100.0,97.6
10,98.5,87.0,82.0,88.0,100.0
11,98.0,92.0,71.91,100.0,100.0
12,98.0,88.0,66.85,100.0,96.4
13,96.5,85.0,78.78,100.0,100.0
14,97.0,89.0,85.38,96.0,100.0
15,96.5,85.0,87.67,86.0,100.0
16,99.0,83.0,68.16,100.0,100.0
17,96.5,89.0,71.59,94.0,97.6
18,95.71,94.0,72.18,84.38,95.2
