chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,93.0,95.0,96.83,100.0,94.0
2,95.5,90.0,77.88,96.0,91.6
3,97.0,91.0,85.49,92.0,92.8
4,97.0,86.0,73.46,80.0,92.8
5,96.0,89.0,79.25,84.0,92.8
6,94.5,91.0,91.33,96.0,91.6
7,97.0,71.0,81.86,72.0,92.8
8,96.0,59.0,77.1,26.0,91.6
9,88.5,59.0,86.29,0.0,91.6
10,96.0,81.0,65.97,64.0,90.4
11,98.5,86.0,73.42,72.0,90.4
12,94.5,89.0,91.12,96.0,92.8
13,97.5,90.0,87.95,92.0,91.6
14,95.5,54.0,73.7,16.0,92.8
15,94.5,75.0,75.51,28.0,90.4
16,97.5,89.0,74.24,84.0,92.8
17,98.5,87.0,79.8,100.0,91.6
18,94.17,93.0,64.05,92.98,95.2
