chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,94.0,97.0,70.44,100.0,94.0
2,96.0,94.0,75.43,96.0,91.6
3,98.0,89.0,100.0,84.0,94.0
4,97.5,89.0,75.31,100.0,91.6
5,98.5,84.0,83.05,72.0,92.8
6,99.5,90.0,75.62,92.0,92.8
7,98.0,87.0,80.3,100.0,92.8
8,97.0,73.0,68.08,42.0,91.6
9,96.5,68.0,78.6,20.0,95.2
10,97.5,87.0,61.62,84.0,91.6
11,96.0,92.0,75.64,92.0,91.6
12,97.0,94.0,77.94,84.0,91.6
13,98.0,87.0,81.93,96.0,94.0
14,96.5,68.0,94.89,24.0,95.2
15,92.5,81.0,84.01,32.0,91.6
16,95.0,82.0,86.15,68.0,94.0
17,97.5,90.0,78.21,96.0,91.6
18,92.5,94.0,64.99,79.66,97.6
