chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,92.5,96.0,75.36,96.0,94.0
2,82.0,88.0,75.46,84.0,91.6
3,67.0,85.0,72.58,76.0,90.4
4,73.5,85.0,77.52,84.0,90.4
5,81.0,80.0,83.47,52.0,92.8
6,67.5,77.0,86.58,56.0,91.6
7,97.0,76.0,81.59,84.0,92.8
8,84.0,73.0,73.27,10.0,90.4
9,77.0,66.0,64.57,6.0,88.0
10,91.5,81.0,66.39,68.0,91.6
11,79.5,86.0,79.64,76.0,90.4
12,90.5,92.0,76.96,84.0,89.2
13,82.5,91.0,73.43,76.0,92.8
14,76.0,81.0,83.98,10.0,91.6
15,76.5,89.0,74.63,48.0,89.2
16,92.5,82.0,68.02,48.0,91.6
17,95.0,93.0,80.54,88.0,90.4
18,78.33,93.0,52.27,100.0,95.2
