chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,94.0,96.0,77.0,100.0,94.0
2,96.0,94.0,84.24,96.0,91.6
3,99.0,87.0,90.96,84.0,94.0
4,98.0,90.0,76.19,100.0,91.6
5,98.5,85.0,80.7,72.0,92.8
6,99.5,89.0,78.05,92.0,92.8
7,99.0,87.0,87.52,100.0,92.8
8,99.5,70.0,99.61,42.0,91.6
9,98.5,67.0,97.96,24.0,95.2
10,97.5,88.0,81.64,84.0,91.6
11,96.0,91.0,73.84,92.0,91.6
12,98.5,94.0,80.31,84.0,91.6
13,98.5,85.0,92.6,96.0,94.0
14,96.5,68.0,90.98,24.0,96.4
15,92.5,81.0,85.14,30.0,91.6
16,95.0,82.0,63.09,68.0,94.0
17,98.5,92.0,80.47,100.0,91.6
18,96.67,92.0,63.72,79.66,97.6
