chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,96.0,92.0,87.68,100.0,100.0
2,97.0,91.0,86.23,100.0,98.8
3,97.0,88.0,80.21,100.0,95.2
4,96.0,86.0,75.32,100.0,95.2
5,98.0,85.0,78.2,88.0,100.0
6,92.5,93.0,74.77,100.0,96.4
7,98.0,89.0,74.67,100.0,97.6
8,97.0,89.0,77.34,100.0,94.0
9,91.5,86.0,80.28,100.0,94.0
10,96.0,83.0,77.42,78.0,90.4
11,93.5,85.0,83.15,92.0,95.2
12,94.5,79.0,61.97,96.0,95.2
13,94.0,87.0,76.49,100.0,94.0
14,94.0,87.0,85.64,96.0,100.0
15,91.5,83.0,76.96,94.0,97.6
16,95.5,87.0,65.44,94.0,96.4
17,98.0,90.0,79.31,94.0,97.6
18,90.0,89.0,82.5,91.67,95.2
