chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,97.0,95.0,75.44,100.0,97.6
2,98.0,92.0,78.64,100.0,98.8
3,94.5,86.0,73.01,100.0,97.6
4,95.5,89.0,73.04,100.0,97.6
5,95.0,82.0,90.39,84.0,97.6
6,95.0,93.0,80.04,100.0,97.6
7,97.0,92.0,90.27,100.0,100.0
8,94.5,91.0,71.29,100.0,97.6
9,88.5,86.0,84.29,100.0,94.0
10,96.0,84.0,67.46,88.0,100.0
11,96.0,88.0,82.93,100.0,98.8
12,99.0,89.0,69.04,100.0,97.6
13,95.5,87.0,77.91,100.0,100.0
14,96.5,84.0,90.06,100.0,100.0
15,93.5,82.0,82.89,94.0,100.0
16,97.5,91.0,62.93,86.0,98.8
17,99.0,85.0,78.73,94.0,98.8
18,93.12,92.0,72.26,87.01,96.4
