chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,97.0,99.0,85.2,100.0,92.8
2,96.5,86.0,98.87,88.0,91.6
3,98.5,90.0,84.34,96.0,94.0
4,97.5,82.0,79.6,80.0,92.8
5,98.5,90.0,93.77,96.0,95.2
6,100.0,93.0,83.37,100.0,91.6
7,99.0,75.0,99.26,92.0,94.0
8,94.5,60.0,73.36,26.0,92.8
9,98.0,61.0,84.83,0.0,91.6
10,98.0,80.0,77.46,64.0,91.6
11,99.0,84.0,87.95,68.0,91.6
12,96.5,89.0,67.82,60.0,94.0
13,99.5,86.0,91.64,64.0,91.6
14,97.5,66.0,81.32,18.0,92.8
15,95.0,87.0,75.5,54.0,91.6
16,98.0,77.0,84.19,72.0,91.6
17,97.5,86.0,74.87,96.0,91.6
18,85.56,88.0,83.63,80.95,95.2
