chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,97.0,100.0,79.11,100.0,92.8
2,97.0,93.0,69.0,100.0,91.6
3,96.0,92.0,74.24,96.0,92.8
4,100.0,92.0,86.99,100.0,92.8
5,99.5,88.0,82.29,72.0,92.8
6,98.5,93.0,74.46,100.0,91.6
7,99.0,87.0,74.55,100.0,92.8
8,96.5,75.0,61.42,42.0,92.8
9,97.0,69.0,94.94,8.0,90.4
10,97.5,90.0,69.97,80.0,91.6
11,98.5,91.0,76.32,84.0,91.6
12,98.5,90.0,85.33,76.0,94.0
13,98.0,82.0,72.9,100.0,94.0
14,99.5,77.0,80.76,24.0,94.0
15,91.5,80.0,80.19,28.0,90.4
16,100.0,84.0,72.32,80.0,92.8
17,99.5,89.0,82.12,88.0,91.6
18,90.62,89.0,80.29,83.33,95.2
