chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,96.0,96.0,66.15,100.0,94.0
2,95.0,86.0,77.42,100.0,91.6
3,99.5,89.0,85.27,96.0,92.8
4,99.0,89.0,87.24,96.0,92.8
5,99.0,84.0,68.58,76.0,92.8
6,99.5,86.0,70.68,100.0,92.8
7,99.5,81.0,91.5,100.0,92.8
8,95.0,76.0,86.24,26.0,92.8
9,96.5,70.0,76.53,14.0,90.4
10,98.0,77.0,75.78,52.0,92.8
11,100.0,83.0,78.63,76.0,91.6
12,94.0,96.0,72.86,72.0,92.8
13,98.0,94.0,73.96,84.0,91.6
14,94.5,81.0,82.3,0.0,92.8
15,91.5,87.0,71.45,26.0,90.4
16,98.0,78.0,92.26,60.0,94.0
17,99.5,95.0,82.45,80.0,91.6
18,94.38,96.0,75.98,61.64,94.0
