chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,98.5,90.0,72.74,100.0,86.8
2,98.5,96.0,77.86,100.0,85.6
3,96.0,92.0,82.41,100.0,90.4
4,99.0,89.0,70.86,100.0,95.2
5,97.0,86.0,66.75,88.0,92.8
6,95.0,94.0,77.98,100.0,97.6
7,99.0,96.0,82.84,100.0,97.6
8,96.0,87.0,75.75,96.0,97.6
9,94.5,88.0,87.96,100.0,83.2
10,98.5,92.0,78.59,82.0,88.0
11,97.5,90.0,76.92,100.0,95.2
12,96.5,87.0,70.91,100.0,95.2
13,97.0,93.0,84.73,100.0,90.4
14,95.0,89.0,94.79,100.0,98.8
15,94.5,86.0,79.0,94.0,95.2
16,97.5,84.0,79.56,94.0,97.6
17,98.5,90.0,90.11,94.0,95.2
18,92.86,93.0,79.77,91.43,96.4
