chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,94.5,97.0,100.0,100.0,92.8
2,97.0,89.0,84.87,92.0,90.4
3,98.5,89.0,78.06,88.0,92.8
4,98.5,89.0,69.11,92.0,90.4
5,99.5,92.0,78.9,88.0,94.0
6,99.0,86.0,70.79,88.0,91.6
7,95.5,91.0,78.97,100.0,92.8
8,99.0,71.0,76.04,32.0,91.6
9,98.0,70.0,66.5,0.0,90.4
10,98.0,89.0,67.94,76.0,94.0
11,99.5,94.0,81.05,100.0,91.6
12,97.0,90.0,72.82,64.0,94.0
13,100.0,93.0,73.53,92.0,91.6
14,99.5,76.0,89.73,24.0,94.0
15,96.5,82.0,76.99,26.0,90.4
16,98.0,83.0,62.68,72.0,92.8
17,99.5,92.0,79.59,92.0,91.6
18,92.14,92.0,62.68,62.5,94.0
