chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,85.5,94.0,85.37,100.0,95.2
2,92.5,87.0,86.58,92.0,91.6
3,88.0,85.0,75.39,96.0,91.6
4,87.0,86.0,72.87,92.0,91.6
5,94.0,88.0,83.46,96.0,92.8
6,91.0,86.0,68.74,92.0,94.0
7,84.0,81.0,79.1,100.0,90.4
8,89.5,72.0,76.62,30.0,91.6
9,91.0,66.0,85.59,10.0,90.4
10,96.5,86.0,98.7,84.0,94.0
11,89.0,88.0,80.3,92.0,91.6
12,94.5,93.0,77.45,88.0,92.8
13,84.5,92.0,76.86,96.0,91.6
14,95.5,72.0,77.59,16.0,92.8
15,92.0,81.0,79.54,34.0,90.4
16,95.5,84.0,64.26,84.0,94.0
17,94.0,91.0,73.28,96.0,90.4
18,92.14,94.0,73.06,81.25,94.0
