chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,95.5,96.0,86.11,100.0,94.0
2,96.0,89.0,78.73,80.0,91.6
3,100.0,89.0,84.34,92.0,92.8
4,98.0,89.0,73.46,88.0,91.6
5,98.0,90.0,71.63,72.0,95.2
6,98.5,90.0,75.63,92.0,91.6
7,98.5,88.0,80.3,100.0,92.8
8,98.5,70.0,74.63,30.0,92.8
9,94.5,72.0,80.84,14.0,90.4
10,97.5,89.0,70.37,80.0,92.8
11,98.0,90.0,77.54,92.0,91.6
12,97.5,89.0,83.59,80.0,94.0
13,96.5,89.0,85.17,92.0,91.6
14,100.0,74.0,89.48,28.0,94.0
15,95.5,84.0,71.5,30.0,90.4
16,97.5,80.0,70.78,60.0,94.0
17,98.0,89.0,83.96,88.0,92.8
18,90.71,93.0,68.21,75.0,94.0
