chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,98.5,93.0,87.51,100.0,92.8
2,94.0,88.0,93.1,100.0,89.2
3,93.5,91.0,81.11,100.0,86.8
4,98.0,87.0,81.64,96.0,88.0
5,98.0,86.0,66.91,84.0,91.6
6,96.5,84.0,76.53,100.0,86.8
7,99.0,97.0,75.94,100.0,92.8
8,94.5,85.0,91.93,96.0,91.6
9,96.0,85.0,84.11,100.0,91.6
10,96.5,80.0,78.79,82.0,91.6
11,97.0,84.0,78.44,100.0,94.0
12,97.0,86.0,70.81,100.0,88.0
13,97.0,86.0,75.81,100.0,89.2
14,97.0,83.0,89.52,100.0,90.4
15,94.0,83.0,82.09,90.0,92.8
16,99.0,87.0,76.91,84.0,90.4
17,99.5,87.0,82.77,90.0,100.0
18,93.57,93.0,72.62,83.87,91.6
