chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,98.5,92.0,92.35,100.0,98.8
2,96.5,92.0,77.56,100.0,100.0
3,95.0,88.0,89.72,100.0,100.0
4,98.0,89.0,66.2,100.0,95.2
5,99.0,91.0,82.28,94.0,98.8
6,94.5,87.0,76.02,100.0,98.8
7,99.0,95.0,76.66,100.0,96.4
8,98.5,87.0,84.09,96.0,96.4
9,95.5,82.0,86.76,100.0,98.8
10,97.0,83.0,83.42,78.0,95.2
11,97.0,86.0,71.48,96.0,100.0
12,95.5,85.0,64.85,100.0,100.0
13,97.5,84.0,82.71,100.0,95.2
14,96.5,91.0,77.3,100.0,98.8
15,95.0,86.0,81.7,94.0,100.0
16,98.0,86.0,69.08,94.0,92.8
17,99.5,88.0,87.28,94.0,97.6
18,92.5,93.0,70.48,92.0,94.0
